,road,LRPName,type,name,condition,length,chainage,lat,lon,Proportion truck
0,N1,LRP001a,Box Culvert,.,A,11.3,1.8,23.69873866,90.4588610799999,0.3853866092825353
1,N1,LRP004b,Box Culvert,.,A,6.6,4.925,23.6946638363636,90.4877749181818,0.2823952305803963
2,N1,LRP008b,PC Girder Bridge,Kanch pur Bridge.,A,394.23,8.976,23.7050598925675,90.5232141463513,0.33857390443179003
4,N1,LRP010a,Box Culvert,KATCHPUR BOX CULVERT,B,8.0,10.543,23.6964000869109,90.5350989801047,0.33857390443179003
5,N1,LRP010b,Box Culvert,NOYAPARA CULVERT,A,6.3,10.88,23.6943906141361,90.5375740774869,0.33857390443179003
6,N1,LRP010c,Box Culvert,ADUPUR CULVERT,A,6.3,10.897,23.6943023869158,90.5377073719626,0.33857390443179003
7,N1,LRP011a,Box Culvert,NAYABARI KASPUR BOX CULVERT,A,8.3,11.296,23.6923601518691,90.5409183897196,0.33857390443179003
8,N1,LRP011c,Box Culvert,NAYABARI BOX CULVERT,B,10.6,11.808,23.6909119315151,90.5454624957575,0.33857390443179003
9,N1,LRP012a,Box Culvert,KHAS PARA BOX CULVERT,A,9.3,12.239,23.6884123260204,90.5485585290816,0.33857390443179003
10,N1,LRP012b,Box Culvert,DAWAN BAG BOX CULVERT,A,6.1,12.253,23.6883197331632,90.548649807653,0.33857390443179003
11,N1,LRP013a,PC Girder Bridge,Madanpur Bridge.(L),A,27.5,12.66,23.685583027027,90.551207981081,0.33857390443179003
15,N1,LRP014a,Box Culvert,KAWTALA BOX CULVERT,A,11.9,13.574,23.6778035,90.5558194349999,0.33857390443179003
16,N1,LRP016a,Box Culvert,MALIBAG BOX CULVERT,B,5.55,15.465,23.6633090696149,90.563856994797,0.33857390443179003
17,N1,LRP017b,RCC Girder Bridge,Langalbandh Bridge.,C,159.52,17.134,23.6544257051136,90.576730225,0.33857390443179003
19,N1,LRP018b,PC Girder Bridge,Darikandi Bridge (R),A,20.45,17.222,23.65397226,90.57741042,0.33857390443179003
23,N1,LRP018c,PC Girder Bridge,Sonakhal Bridge(L),A,25.5,18.093,23.6497543993548,90.5845490085483,0.33857390443179003
27,N1,LRP019a,PC Girder Bridge,MOLLIK PARA BRIDGE (R),C,40.5,18.742,23.6459685949152,90.5892119813559,0.33857390443179003
31,N1,LRP020a,Box Culvert,KRIBORDI BOX CULVERT,A,6.0,19.76,23.6379543715384,90.5936673976923,0.33857390443179003
32,N1,LRP020b,Box Culvert,SHADIPUR BOX CULVERT,B,10.4,20.397,23.63380522,90.597394085,0.4437068055697409
33,N1,LRP021c,PC Girder Bridge,Marikhali Bridge(L),A,86.92,21.184,23.6284668507692,90.6023015723077,0.4437068055697409
36,N1,LRP022a,Box Culvert,SANGAKADI CULVERT,B,5.5,22.328,23.6198832229508,90.6083528852459,0.4437068055697409
37,N1,LRP023a,PC Girder Bridge,ASHIR CHAR (Right),A,224.8,22.596,23.6176407964705,90.6095506105882,0.4437068055697409
45,N1,LRP024a,PC Girder Bridge,Meghna Bridge,A,924.85,24.393,23.6027595885583,90.6155316965675,0.4437068055697409
47,N1,LRP026a,Box Culvert,TATULTALA CULVERT,A,5.6,26.115,23.5929818827893,90.6279699370919,0.4437068055697409
48,N1,LRP026b,Box Culvert,BAILAKANDI CULVERT,A,5.5,26.452,23.5908088547468,90.6302368598101,0.4437068055697409
49,N1,LRP027a,Box Culvert,MALUAKANDI CULVEDRT,A,5.6,27.12,23.58631812254,90.6345094207093,0.4437068055697409
50,N1,LRP028b,PC Girder Bridge,Bhater char Bridge (L),A,172.1,28.315,23.5779800248475,90.6419193089939,0.4437068055697409
53,N1,LRP029a,PC Girder Bridge,Anarpara Bridge (L),A,29.85,29.138,23.5716306256965,90.6454159236842,0.4437068055697409
57,N1,LRP030a,Box Culvert,VITIKANDA - ANAR PUR CULVERT,A,34.7,29.842,23.5660033956521,90.6486237247282,0.4437068055697409
58,N1,LRP031a,PC Girder Bridge,Alipur bridge(R),A,27.4,30.908,23.5591910296296,90.6557475703703,0.4437068055697409
62,N1,LRP032a,PC Girder Bridge,Bhaber char Bridge(R),A,29.85,31.472,23.5557082901265,90.6597414245569,0.4437068055697409
66,N1,LRP032d,PC Girder Bridge,Baushia Bridge(R),A,29.87,32.121,23.5517421907216,90.6643538752577,0.4437068055697409
70,N1,LRP033a,Box Culvert,PURRANBUICHE BOX CULVERT,A,9.1,32.777,23.5477377446428,90.6690554098214,0.4437068055697409
71,N1,LRP033b,Box Culvert,NOYAPARA,A,5.2,32.796,23.5476246437499,90.669192065625,0.4437068055697409
72,N1,LRP034a,PC Girder Bridge,Madhya Baushia Bridge(L),A,72.49,33.591,23.54268543125,90.6748292125,0.4437068055697409
76,N1,LRP034c,Box Culvert,BOCTAR KANDI BOX CULVERT,C,5.1,34.111,23.5393910168,90.6784577888,0.4437068055697409
77,N1,LRP035a,Box Culvert,.,A,9.5,35.181,23.5327751898617,90.6858701078341,0.4437068055697409
82,N1,LRP036c,Box Culvert,CHAR BOUSHEA (2),A,8.4,35.707,23.5301519626506,90.6897951837349,0.4437068055697409
83,N1,LRP037a,PC Box,Daudkandi Bridge.,A,1408.8,37.01,23.5303844733,90.7024402743,0.4437068055697409
85,N1,LRP040b,RCC Girder Bridge,Baldhakhal Bridge,C,23.1,39.304,23.5324186,90.7242807234,0.5243724209078404
87,N1,LRP040c,Box Culvert,MAIS PARA BOX CULVERT,B,6.0,39.86,23.5317587831999,90.7291780095,0.5243724209078404
88,N1,LRP043a,RCC Girder Bridge,SHAHID NAGIR,C,16.5,42.936,23.5298050611,90.75825325,0.5243724209078404
90,N1,LRP046a,Box Culvert,SARKAR BARI CULVERT,C,3.9,45.164,23.5307655282208,90.7800797251533,0.5243724209078404
91,N1,LRP047a,Slab Culvert,AMIRABATH SLAB CULVERT,C,6.5,46.871,23.5308683409424,90.7918075171727,0.5243724209078404
92,N1,LRP049a,RCC Girder Bridge,Ginlatoly bridge,A,15.9,48.384,23.5318234765,90.8110155135,0.5243724209078404
94,N1,LRP051a,Box Culvert,RAIPUR BOX CULVERT,A,12.2,50.558,23.5329743291,90.8309774761999,0.5243724209078404
95,N1,LRP053a,Box Culvert,AITAL BANGA BOX CULVERT,C,4.5,52.313,23.5229166652,90.8442186132,0.5243724209078404
96,N1,LRP056a,RCC Girder Bridge,Illiot bazar Bridge,C,28.9,56.006,23.510087758207,90.8757204035353,0.5243724209078404
98,N1,LRP059a,Box Culvert,KHAT GHOR BOX CULVERT,B,5.9,58.838,23.5060024341,90.9021745389,0.5243724209078404
99,N1,LRP061a,Box Culvert,BAKRA BOX CULVERT,B,3.0,60.83,23.5056131416,90.9214660218,0.5243724209078404
100,N1,LRP064a,Slab Culvert,MATIA BAZER,B,6.0,63.098,23.5024077848,90.9432418928,0.5243724209078404
101,N1,LRP064c,Box Culvert,SONAPUR BOX CULVERT,A,3.0,63.538,23.5013551924,90.9473844088999,0.5243724209078404
102,N1,LRP067a,Slab Culvert,KARON KHAL SLAB CULVERT,B,4.6,66.178,23.495896314,90.9715772516,0.5243724209078404
103,N1,LRP068a,Box Culvert,MILL GHAT BOX CULVERT,A,4.5,68.04,23.4932728146,90.9887200416,0.5243724209078404
104,N1,LRP072a,RCC Girder Bridge,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,C,23.1,71.156,23.4868805937254,91.017566692647,0.45879851143009037
106,N1,LRP075a,Box Culvert,CORI PAI BOX CULVERT,B,4.6,74.279,23.4817873233065,91.0463348850746,0.45879851143009037
107,N1,LRP076a,Box Culvert,COREPAI BOX CULVERT,B,4.6,75.312,23.4817498298684,91.0563549686842,0.45879851143009037
108,N1,LRP077a,Slab Culvert,NIMSHAR SLAB CULVERT,A,1.5,76.481,23.480613086,91.0674097692,0.45879851143009037
109,N1,LRP079a,Slab Culvert,KABILA DUBARCHAR SLAB CULVERT,C,1.0,78.382,23.4776722851,91.0847406393,0.45879851143009037
110,N1,LRP081a,Box Culvert,NAZIRA BOX CULVERT,B,3.0,80.949,23.4781159049382,91.1070332074074,0.45879851143009037
111,N1,LRP083a,Box Culvert,TIPRA BAZAR BOX CULVERT,A,1.4,82.437,23.4794083880733,91.1238920825688,0.45879851143009037
112,N1,LRP083b,Slab Culvert,AMTOLI SLAB CULVERT,A,2.9,82.989,23.479544924,91.129047144,0.45879851143009037
113,N1,LRP088a,RCC Girder Bridge,DHANPUR RCC GIDER BRIDGE,A,23.4,87.713,23.4436339598272,91.1493668151188,0.5648804067005584
115,N1,LRP092a,RCC Girder Bridge,Paduar Bazar Bridge,C,35.97,91.092,23.4212487704918,91.1678943372365,0.5648804067005584
117,N1,LRP094a,RCC Girder Bridge,Mostapur Bridge,C,27.35,93.6,23.4119324230158,91.1939029849206,0.5648804067005584
119,N1,LRP098a,RCC Girder Bridge,RAZAPARA RCC GIDER BRIDGE,A,27.9,97.257,23.3976518197887,91.2234221346859,0.5648804067005584
121,N1,LRP101a,RCC Girder Bridge,Suagazi Bridge.,A,30.48,100.938,23.3713647755,91.2450175414999,0.5648804067005584
123,N1,LRP104a,RCC Girder Bridge,LAL BAG RCC GIDER BRIDGE,C,22.8,103.456,23.3521636774381,91.2572910746724,0.5648804067005584
125,N1,LRP105a,Box Culvert,CHANSIRI BOXCUIVERT,A,14.3,104.753,23.342671472,91.264485636,0.5648804067005584
126,N1,LRP107a,Box Culvert,MIABAZAR BOX CULVERT,A,24.0,106.519,23.3301462324,91.2748792824,0.5648804067005584
127,N1,LRP109a,Box Culvert,NOYA BAZER BOX CULVERT,A,9.2,108.125,23.3180696869138,91.2830867321701,0.5648804067005584
128,N1,LRP110a,Box Culvert,DOLL BARI CULVERT,B,19.2,109.289,23.3083612731261,91.2865787034735,0.5648804067005584
129,N1,LRP110c,Slab Culvert,DHARMA PUR SLAB CULVERT,B,2.6,109.897,23.3034306450331,91.2889770397351,0.5648804067005584
130,N1,LRP111a,Box Culvert,LALGORE BEZER CULVERT,A,3.2,110.551,23.2979675271676,91.2910141369942,0.5648804067005584
131,N1,LRP112a,Box Culvert,SUPUYA BOX CULVERT,A,13.4,111.509,23.2897066386454,91.2929584711155,0.5648804067005584
132,N1,LRP113a,Box Culvert,BOWCHI BAZAR CULVERT,B,4.6,112.469,23.2821949258397,91.2966655096899,0.5648804067005584
133,N1,LRP114a,Box Culvert,AMAN GONG SLAB CULVERT,B,6.3,113.717,23.27301895,91.3029661882,0.5648804067005584
134,N1,LRP116a,Box Culvert,RANGAMATIA (1) BOX CULVERT,B,3.0,115.052,23.2618360940594,91.3070217386138,0.5648804067005584
135,N1,LRP116b,Slab Culvert,RANGOWATIA 2 CULVERT,B,3.0,115.326,23.25941665,91.3073611,0.5648804067005584
136,N1,LRP116c,Box Culvert,NOWA PARA BOX CULVERT,B,3.6,115.525,23.2576429774881,91.3076156494075,0.5648804067005584
137,N1,LRP117a,Box Culvert,HARISHARDE CULVERT,B,4.5,116.074,23.2527463398104,91.3083926405213,0.5648804067005584
138,N1,LRP118a,Box Culvert,SONAGATI BOX CULVERT,B,2.5,117.087,23.2443915125925,91.3114032292592,0.5648804067005584
139,N1,LRP118b,Box Culvert,BALUJURI BOX CULVERT,B,19.2,117.269,23.2429040619631,91.3119739539877,0.5648804067005584
140,N1,LRP118d,Box Culvert,BALUZURI 2 CULVERT,A,2.6,117.627,23.2397920309669,91.3125740860465,0.5648804067005584
141,N1,LRP119a,Box Culvert,KALIR BAZAR BOX CULVERT,A,2.5,118.049,23.2360759516523,91.3129901976744,0.5648804067005584
142,N1,LRP119b,Box Culvert,KALIA BAZER BOC CULVERT,B,3.1,118.856,23.2289195919642,91.3134220678571,0.5648804067005584
143,N1,LRP120a,Box Culvert,CHAUDDAGARAM BOX CULVERT,B,2.6,119.19,23.2259184472573,91.3135697177215,0.5648804067005584
144,N1,LRP120b,Box Culvert,CHADDAGRAM BAZAR BOX CULVERT,A,6.0,119.628,23.2220338977777,91.3137005933333,0.5648804067005584
145,N1,LRP121b,Box Culvert,HAYDAR POLE BOX CULVERT,B,14.3,120.634,23.2131955721448,91.3153497403899,0.5553414565032587
146,N1,LRP122a,Box Culvert,FALGUNCORA CULVERT,A,6.1,121.567,23.2050386287937,91.3163167282749,0.5553414565032587
147,N1,LRP123a,Box Culvert,ATTOCK GRAM BOX CULVERT,A,6.1,122.603,23.1961887953757,91.3176705069364,0.5553414565032587
148,N1,LRP124a,Box Culvert,BOSONTA PUR BOX CULVERT,C,6.1,123.681,23.1874350254302,91.3209051317399,0.5553414565032587
149,N1,LRP125a,Box Culvert,BASHONTA PUR (2),B,9.5,124.346,23.1817958149837,91.3208787514658,0.5553414565032587
150,N1,LRP126a,Box Culvert,NANKORA BOX CULVERT,B,3.1,125.41,23.1726272318681,91.3205774642857,0.5553414565032587
151,N1,LRP127a,Box Culvert,ANDAJER BAZER BOX CULVERT,A,9.5,126.448,23.1635138669191,91.3215889464646,0.5553414565032587
152,N1,LRP128a,Box Culvert,DIMATOLI (1) BOX CULVERT,B,6.3,127.673,23.1527364949367,91.3243178772152,0.5553414565032587
153,N1,LRP129a,Box Culvert,DIMATOLY (2) BOX CULVERT,B,3.5,128.767,23.1436667679334,91.3266680470308,0.5553414565032587
154,N1,LRP130a,Box Culvert,JAGARNATHPUR BOX CULVERT,B,6.1,129.291,23.1389893200345,91.3263585348877,0.5553414565032587
155,N1,LRP131a,Box Culvert,JAGOT PUR BOX CULVERT,B,3.0,129.955,23.1332639685968,91.327546416481,0.5553414565032587
156,N1,LRP131b,Box Culvert,HASO BOTHACH BOX CULVERT,A,6.5,130.912,23.1252363577777,91.3303863688888,0.5553414565032587
157,N1,LRP132a,Slab Culvert,FOKIR BAZAR SLAB CULVERT,B,4.5,131.577,23.1196973774193,91.3328165129032,0.5553414565032587
158,N1,LRP133a,Box Culvert,KAKKARA CULVERT,B,5.3,132.079,23.1158251554,91.335094485,0.5553414565032587
159,N1,LRP134a,Box Culvert,Chanara Box Culvert,A,6.1,133.155,23.1074284451388,91.3400495436111,0.5553414565032587
160,N1,LRP135a,Box Culvert,CHANGARPULL(II) BOX CULVERT,B,3.1,133.873,23.1017563206521,91.343162998913,0.5553414565032587
161,N1,LRP135b,Box Culvert,ADONCORA,B,9.5,134.426,23.0973512527272,91.3454956309091,0.5553414565032587
162,N1,LRP136a,Box Culvert,PODOYA BOX CULVERT,A,3.1,134.974,23.0930298369186,91.3478308386627,0.5553414565032587
163,N1,LRP136c,Box Culvert,FOEALTPARA BOX CULVERT,B,9.25,135.723,23.0870753710144,91.3512101492753,0.5553414565032587
164,N1,LRP137a,Box Culvert,UTTOR KAIEATI CULVERT,A,3.5,136.375,23.0819909531309,91.3541811474383,0.5553414565032587
165,N1,LRP137b,Box Culvert,KOKALI BOX CULVERT,B,14.2,136.899,23.0779647046997,91.3566005031331,0.5553414565032587
166,N1,LRP138a,Box Culvert,DUTHOSHA BOX CULVERT,B,6.1,137.856,23.070198184,91.3603022,0.5553414565032587
167,N1,LRP140a,Box Culvert,MOHAMMAD ALI MAZAR,B,4.0,138.953,23.0607473333333,91.3618624619047,0.5553414565032587
168,N1,LRP142a,Box Culvert,FATAPUR BOX CULVERT,A,10.8,141.531,23.0379728055555,91.3656784724359,0.4937592319054653
169,N1,LRP143a,Slab Culvert,DEBIPUR SLAB CULVERT,A,1.6,142.793,23.0269801170731,91.3655004839721,0.4937592319054653
170,N1,LRP145a,Box Culvert,CHARIPUR CULVERT.,A,3.4,144.939,23.0124048410423,91.3779796149837,0.4937592319054653
171,N1,LRP148a,Box Culvert,RAMPUR BOX CULVERT,A,1.5,147.296,22.999248756,91.3957752,0.534606453401726
172,N1,LRP149a,RCC Girder Bridge,RAMPUR BRIDGE,A,23.4,148.151,22.9947280792802,91.4022894900763,0.534606453401726
175,N1,LRP149c,Box Culvert,.,A,1.9,148.495,22.9927169359869,91.4047486961832,0.534606453401726
176,N1,LRP155a,PC Girder Bridge,Lemua Bridge(L),C,98.87,153.843,22.9614487369369,91.4429962027027,0.5621971613567172
178,N1,LRP159a,Box Culvert,FAZAILPUR BOXCULVERT,A,1.5,158.031,22.9486038666666,91.4794993833333,0.534606453401726
179,N1,LRP161a,PC Girder Bridge,MUHURI BRIDGE,B,191.5,160.379,22.9496126090047,91.502066899526,0.534606453401726
181,N1,LRP166a,PC Girder Bridge,DumGhat Bridge(L),A,222.43,165.183,22.9149647061403,91.5262895350877,0.44643005568946886
183,N1,LRP166c,Box Culvert,BUMGAT BOXCULVERT,A,6.1,165.825,22.9097128884012,91.5289285034482,0.44643005568946886
184,N1,LRP167a,Slab Culvert,BOROYAR PARA SLUB CULVERT,A,3.0,166.479,22.9042462955223,91.5316297776119,0.44643005568946886
185,N1,LRP169a,Box Culvert,BAROYARHAT BOX CULVERT,A,3.0,167.963,22.8916386,91.5354719,0.44643005568946886
186,N1,LRP171a,Box Culvert,UTTOR SONAPAR BOX CULVERT,A,4.3,169.933,22.8746986941176,91.5408836647058,0.44643005568946886
187,N1,LRP171b,Box Culvert,CHAIRMEN BARI BOX CULVERT,A,2.0,170.174,22.872722034892,91.5415958766187,0.44643005568946886
188,N1,LRP171c,Box Culvert,MADDAM SONAPAR(1) BOX CULVERT,A,1.5,170.725,22.8680563702127,91.5432963340425,0.44643005568946886
189,N1,LRP172a,Box Culvert,DHARBAR TILA CULVERT,A,4.3,171.554,22.8609876872509,91.5451551717131,0.44643005568946886
190,N1,LRP172b,Box Culvert,MADDUM SONAPHAR-3,A,2.0,171.728,22.8594847882591,91.5454799987854,0.44643005568946886
191,N1,LRP173a,Box Culvert,MAMAFOUN ASTANA CULVERT,A,1.5,172.122,22.8560565672727,91.5457188709091,0.44643005568946886
192,N1,LRP173b,Slab Culvert,MAMAFAKIR ASTANA SLAB CULVERT,A,1.5,172.23,22.8551475327433,91.5458221849557,0.44643005568946886
193,N1,LRP174a,Box Culvert,MASTANNAGOR BONCUL(1),A,8.5,172.969,22.8486172764705,91.5463706117647,0.44643005568946886
194,N1,LRP174b,Box Culvert,MUSTAU NOGAR(2),A,3.0,173.35,22.8453914894736,91.5474689210526,0.44643005568946886
195,N1,LRP174c,Box Culvert,MASTARI HAGOR 3 CULVERT,A,1.5,173.585,22.8434551375,91.54814955625,0.44643005568946886
196,N1,LRP175a,Box Culvert,MUSTAN NAGAR -4,A,3.0,173.859,22.8410943334277,91.5488096951841,0.44643005568946886
197,N1,LRP175b,Box Culvert,RAIPUR BOX CUL-1,A,3.0,174.804,22.8327467692419,91.5501035014577,0.44643005568946886
198,N1,LRP176a,Box Culvert,RAIPUR (2) BOX CULVERT,A,4.5,175.013,22.8309613422018,91.5505028545871,0.44643005568946886
199,N1,LRP176b,Box Culvert,PURPU DURGAPURE BOX CUL,C,12.4,175.785,22.8243706577981,91.5526915454128,0.44643005568946886
200,N1,LRP179a,Box Culvert,MUCHIPOOL CULVERT,B,9.5,177.247,22.811563437647,91.5562562129411,0.44643005568946886
201,N1,LRP181a,Box Culvert,MIRSARAI BOX CUL,A,4.5,179.363,22.7941813523326,91.5629612622718,0.44643005568946886
202,N1,LRP182a,RCC Girder Bridge,MIRAISORI BRIDGE,B,23.2,180.85,22.7821968918511,91.5691025661971,0.44643005568946886
203,N1,LRP183b,Box Culvert,Mirsorai(2) box culvert,A,6.0,181.825,22.774197092,91.5728737519999,0.44643005568946886
204,N1,LRP184a,Box Culvert,IANAINIPOL BOX CULVERT.,A,9.7,182.318,22.770251666098,91.5750905211087,0.44643005568946886
205,N1,LRP185a,Box Culvert,BOKIMTOLA BOX CULVERT,A,4.0,183.296,22.7630626913907,91.5804538821192,0.44643005568946886
206,N1,LRP186a,Box Culvert,VARTAKA BOX CULVERT,A,12.9,184.654,22.7535653245121,91.5886004236585,0.44643005568946886
207,N1,LRP187a,Box Culvert,VARTAGIA BOX CULVERT,A,3.0,185.058,22.7506393495689,91.5908840370689,0.44643005568946886
208,N1,LRP187b,Box Culvert,BOTHAGIA (-3) BOX CULVERT,B,8.1,185.842,22.7445136523437,91.5943998915364,0.44643005568946886
209,N1,LRP190a,Box Culvert,NIAZAMPUR BOX CULVERT,A,3.0,188.35,22.723316755473,91.6024331404452,0.44643005568946886
210,N1,LRP191a,Box Culvert,MIRJAPUR BOX CULVERT,A,3.0,189.058,22.7178243865384,91.6057623307692,0.44643005568946886
211,N1,LRP191b,Box Culvert,MIRZAPUR (2) BOX CULVERT,A,3.0,189.13,22.7172707342307,91.6061084846153,0.44643005568946886
212,N1,LRP191c,Box Culvert,ISAMATI BOX CULVERT,C,19.2,189.58,22.7138727382812,91.6082352218749,0.44643005568946886
213,N1,LRP193a,Box Culvert,DUKHIN UTHPAR BOX CULVERT,A,19.2,191.107,22.701816503937,91.6149734608923,0.44643005568946886
214,N1,LRP194a,Box Culvert,VANGGARPOL BOX CULVERT,A,4.2,192.408,22.6912517148148,91.6201690574074,0.44643005568946886
215,N1,LRP195a,Box Culvert,BORO KAMALDA BOX CULVERT,A,3.2,192.95,22.6868697647058,91.6220385823529,0.44643005568946886
216,N1,LRP196a,Box Culvert,TARAT BOX CULVERT,A,6.0,194.149,22.6769772991044,91.6268169453731,0.44643005568946886
217,N1,LRP197a,Box Culvert,Tarial Bazar Culvert,A,3.0,194.998,22.6699594391304,91.6293531695652,0.4940160878948401
218,N1,LRP197b,Box Culvert,MIRJA PUR (3) BOX CULVERT,A,3.0,195.501,22.6657838981081,91.6311293581081,0.4940160878948401
219,N1,LRP198a,Box Culvert,SATU DURUAR HAT BOX CULVERT,A,3.0,196.038,22.6615956814814,91.6335257425926,0.4940160878948401
220,N1,LRP199a,Box Culvert,RONA SORA CULVERT,A,3.1,196.925,22.6547124294117,91.6379261764705,0.4940160878948401
221,N1,LRP199b,Box Culvert,NUNA CHARA BOX CULVERT,A,4.6,197.39,22.6510709547445,91.6400341194647,0.4940160878948401
222,N1,LRP199c,Box Culvert,BOTTOL BOX CULVERT,A,12.4,197.846,22.6474561112311,91.6419171170626,0.4940160878948401
223,N1,LRP201a,Box Culvert,KACHAI PATH BOX CULVERT,A,3.0,199.279,22.636096590965,91.648209240657,0.4940160878948401
224,N1,LRP201b,Box Culvert,KACHAI POTTI BOX CULVERT,A,3.0,199.502,22.6343285718685,91.6492077265913,0.4940160878948401
225,N1,LRP202a,Box Culvert,EGOL PUR BOX CULVERT,A,3.0,200.277,22.6281666352941,91.6527578258312,0.4940160878948401
226,N1,LRP202b,Box Culvert,UTTOR SITAKONDO BAZAR BOX CULVERT,B,6.1,200.575,22.6258323373493,91.6541857554217,0.4940160878948401
227,N1,LRP203a,Slab Culvert,SITAKUNDA SLAB,A,3.0,200.918,22.6230461711711,91.6554672531531,0.4940160878948401
228,N1,LRP203b,Box Culvert,MOHADAB PUR BOX CULVERT,A,3.0,201.52,22.6177563490118,91.6580589438735,0.4940160878948401
229,N1,LRP204a,Slab Culvert,PURBOMOHADAB PUR SLAB CULVERT(L),A,4.6,201.999,22.6149899686274,91.6602670503268,0.4940160878948401
231,N1,LRP205a,Box Culvert,MADICAL MORE CULVERT,A,3.0,202.435,22.6117556741935,91.6625686731182,0.4940160878948401
232,N1,LRP206a,Box Culvert,DOKHIN MOHADEB PUR BOX CULVERT,A,2.95,203.457,22.6038394411764,91.6673745588235,0.4940160878948401
233,N1,LRP206b,Box Culvert,KALIAVA BOX CULVERT,B,4.5,203.651,22.6023506949579,91.6683367336134,0.4940160878948401
234,N1,LRP206c,Box Culvert,SKM BOX CULVERT(1),B,9.3,204.342,22.5971665766519,91.671819207489,0.4940160878948401
235,N1,LRP207a,Box Culvert,HATILOTA BOX CULVERT,A,4.5,204.765,22.5938881803921,91.6738889367647,0.4940160878948401
236,N1,LRP208a,RCC Girder Bridge,BAROCONDO BRIDGE,C,22.25,205.615,22.5870350167767,91.6770444686922,0.4940160878948401
237,N1,LRP208d,Box Culvert,BAROGINDO CULVERT,A,2.5,206.3,22.5815086746355,91.6795390413994,0.4940160878948401
238,N1,LRP209a,Box Culvert,BARO-CUNDHOW BOX CULVERT,A,10.2,206.866,22.5767930229508,91.68162274153,0.4940160878948401
239,N1,LRP210a,Box Culvert,PHPMORE BON CULVERT,A,3.0,207.64,22.5702905930578,91.6840096656198,0.4940160878948401
240,N1,LRP210b,Box Culvert,CHARA KANDI BOX CULVERT,A,8.2,207.913,22.5679968064462,91.6846866604958,0.4940160878948401
241,N1,LRP210d,Box Culvert,R. R TEXTAIL BOX CULVERT,A,4.5,208.1,22.5664212916363,91.6851826636363,0.4940160878948401
242,N1,LRP211a,Box Culvert,OHIDPUR BOX CULVERT,A,4.1,209.024,22.5585210862619,91.687506242492,0.4940160878948401
243,N1,LRP212a,RCC Girder Bridge,BARSH BARIA BRIDGE,B,21.6,209.514,22.5543319776357,91.6887963149094,0.4940160878948401
244,N1,LRP213a,Box Culvert,SOUTH BALSH KHALI BOX CULVERT,A,3.0,210.476,22.5467727210909,91.6926260603636,0.4940160878948401
245,N1,LRP213b,Box Culvert,DOKHIN BASH-KHALI BOX CULVERT,A,5.2,210.776,22.5444897756363,91.6941310785454,0.4940160878948401
246,N1,LRP214a,Box Culvert,SOTTANA MONDIR CULVERT,A,8.2,211.433,22.5390300234693,91.6965452744898,0.4940160878948401
247,N1,LRP215a,Box Culvert,GULAM JUTE MILE BOX CULVERT,A,3.0,212.483,22.5303678038461,91.7004641228571,0.4940160878948401
248,N1,LRP215b,Arch Masonry,KYSTELGATE ARCH,B,16.3,213.386,22.5229359167189,91.7038366163009,0.4940160878948401
249,N1,LRP217a,PC Girder Bridge,Chotokumir Bridge,A,41.11,214.807,22.5113471164122,91.7087907889313,0.4940160878948401
251,N1,LRP218a,Box Culvert,ROYL CIMINT GATE CULVETRT,A,4.5,215.467,22.5060220437735,91.7112848218867,0.4940160878948401
252,N1,LRP218b,RCC Girder Bridge,GORA MARA RCC GIRDER BRIDGE,A,17.6,216.196,22.5000858335766,91.7141504905109,0.4940160878948401
253,N1,LRP219a,Box Culvert,GORA MARI BOX CULVERT,B,3.0,217.377,22.4904405976324,91.7182726733934,0.4940160878948401
254,N1,LRP220a,Box Culvert,BARAOWLLA BOX CULVERT,A,4.5,217.942,22.4855480068965,91.7195309517241,0.4940160878948401
255,N1,LRP220b,RCC Girder Bridge,MUDDO SONAISORI BRIDGE,B,23.2,218.441,22.4811642144766,91.7203633632516,0.4940160878948401
257,N1,LRP221a,Box Culvert,HATIBORI BOX CULVERT,A,6.0,219.427,22.4728530893544,91.7232633541336,0.4940160878948401
258,N1,LRP223a,RCC Girder Bridge,SHLAKHAR PAD BRIDGE,B,23.2,220.725,22.4624386352,91.7285307,0.4940160878948401
260,N1,LRP224a,Box Culvert,KODOM RASUL BOX CULVERT,A,3.0,222.357,22.4488628503871,91.7342823894358,0.4940160878948401
261,N1,LRP225a,RCC Girder Bridge,SALAKHARPAD BRIDGE,C,26.3,222.687,22.4460793332411,91.7353674287057,0.4940160878948401
262,N1,LRP226a,Box Culvert,HASNA BAD BOX CULVERT,A,3.0,223.743,22.4375035216216,91.7386659473513,0.4940160878948401
263,N1,LRP226b,RCC Girder Bridge,VATERIE BRIDGE,A,40.0,224.053,22.4350737918918,91.7396527192432,0.4940160878948401
264,N1,LRP228a,PC Girder Bridge,DHAMAKHALI BRIDGE,B,35.1,225.702,22.4220415536,91.7480209792,0.4940160878948401
265,N1,LRP230a,Box Culvert,VATIARI CULVERT,A,5.0,228.029,22.4030145445,91.75657411625,0.4940160878948401
266,N1,LRP231a,Box Culvert,T. B HOSPITAL GATE BOX CULVERT,A,3.0,228.797,22.3963398830265,91.7582551580777,0.2025130890052356
267,N1,LRP231b,PC Girder Bridge,GAMMON BRIDGE,A,18.0,229.203,22.3927175345622,91.7590882138248,0.2025130890052356
