road,lat,lon,model_type,road_to,condition,length,id,name
N1,23.5133056,90.8703049,bridge,,C,143,1000100,bridge 48
N1,23.5126667,90.871416,link,,,2858,1000101,link 51
N1,23.5056111,90.8958886,bridge,,A,77,1000102,bridge 49
N1,23.5056389,90.8966108,link,,,1988,1000103,link 52
N1,23.50575,90.91525,bridge,,B,88,1000104,bridge 50
N1,23.5057222,90.9160278,link,,,2362,1000105,link 53
N1,23.5038611,90.9371386,bridge,,A,351,1000106,bridge 51
N1,23.5033611,90.939208,link,,,351,1000107,link 54
N1,23.5028611,90.9412774,bridge,,A,375,1000108,bridge 52
N1,23.5020278,90.9448886,link,,,2649,1000109,link 55
N1,23.4980552,90.9660278,bridge,,B,182,1000110,bridge 53
N1,23.4972774,90.9674716,link,,,1876,1000111,link 56
N1,23.4951386,90.9829993,bridge,,A,305,1000112,bridge 54
N1,23.4942497,90.985833,link,,,3106,1000113,link 57
N1,23.4890552,91.0120278,bridge,,C,227,1000114,bridge 55
N1,23.488333,91.0140833,link,,,3161,1000115,link 58
N1,23.481166,91.0404441,bridge,,B,140,1000116,bridge 56
N1,23.4814716,91.0419719,link,,,1012,1000117,link 59
N1,23.4820827,91.0504167,bridge,,B,128,1000118,bridge 57
N1,23.4821382,91.0516944,link,,,3072,1000119,link 60
N1,23.4770827,91.0789993,bridge,,C,55,1000120,bridge 58
N1,23.4770271,91.0794716,link,,,2569,1000121,link 61
N1,23.4778604,91.1036111,bridge,,A,486,1000122,bridge 59
N1,23.4779993,91.1055278,link,,,1459,1000123,link 62
N1,23.4789438,91.1177216,bridge,,A,27,1000124,bridge 60
N1,23.4789716,91.1179993,link,,,45,1000125,link 63
N1,23.4789716,91.118166,intersection,N102,,546,1000126,intersection
N1,23.47915215,91.1208188,link,,,546,1000127,link 64
N1,23.4793327,91.1234716,bridge,,A,435,1000128,bridge 61
N1,23.4800827,91.1276382,link,,,4739,1000129,link 65
N1,23.448833,91.1471386,bridge,,C,233,1000130,bridge 62
N1,23.4469441,91.1481386,link,,,3388,1000131,link 66
N1,23.4235827,91.1629722,bridge,,A,545,1000132,bridge 63
N1,23.4213604,91.167666,link,,,2111,1000133,link 67
