road,lat,lon,model_type,road_to,condition,length,id,name
N1,21.3742493,92.0755271,bridge,,A,16,1000904,bridge 448
N1,21.3742493,92.0756938,link,,,174,1000905,link 453
N1,21.3736938,92.0768327,bridge,,C,82,1000906,bridge 449
N1,21.3734438,92.0770827,link,,,82,1000907,link 454
N1,21.3731938,92.0773327,bridge,,D,228,1000908,bridge 450
N1,21.37234655,92.0779438,link,,,228,1000909,link 455
N1,21.3714993,92.0785549,bridge,,C,206,1000910,bridge 451
N1,21.370666,92.07908265,link,,,206,1000911,link 456
N1,21.3698327,92.0796104,bridge,,B,262,1000912,bridge 452
N1,21.36886045,92.07997155,link,,,262,1000913,link 457
N1,21.3678882,92.0803327,bridge,,B,134,1000914,bridge 453
N1,21.367416,92.0805549,link,,,134,1000915,link 458
N1,21.3669438,92.0807771,bridge,,C,84,1000916,bridge 454
N1,21.3662778,92.0810549,link,,,147,1000917,link 459
N1,21.3657222,92.0812771,bridge,,A,151,1000918,bridge 455
N1,21.36506945,92.08134655,link,,,151,1000919,link 460
N1,21.3644167,92.081416,bridge,,A,341,1000920,bridge 456
N1,21.36295835,92.0810271,link,,,341,1000921,link 461
N1,21.3615,92.0806382,bridge,,A,427,1000922,bridge 457
N1,21.35979165,92.07983265,link,,,427,1000923,link 462
N1,21.3580833,92.0790271,bridge,,A,44,1000924,bridge 458
N1,21.35775,92.0790271,link,,,108,1000925,link 463
N1,21.3571944,92.0791104,bridge,,A,96,1000926,bridge 459
N1,21.35676385,92.07909655,link,,,96,1000927,link 464
N1,21.3563333,92.0790827,bridge,,B,125,1000928,bridge 460
N1,21.35579165,92.0790827,link,,,125,1000929,link 465
N1,21.35525,92.0790827,bridge,,B,305,1000930,bridge 461
N1,21.35395835,92.0787077,link,,,305,1000931,link 466
N1,21.3526667,92.0783327,bridge,,A,416,1000932,bridge 462
N1,21.3490552,92.0784716,link,,,728,1000933,link 467
N1,21.3463608,92.0790271,bridge,,B,561,1000934,bridge 463
N1,21.34393025,92.0789299,link,,,561,1000935,link 468
N1,21.3414997,92.0788327,bridge,,A,122,1000936,bridge 464
N1,21.3404997,92.0784993,link,,,390,1000937,link 469
N1,21.3381941,92.078916,bridge,,A,657,1000938,bridge 465
N1,21.33533285,92.07899935,link,,,657,1000939,link 470
N1,21.3324716,92.0790827,bridge,,A,163,1000940,bridge 466
N1,21.3311104,92.0788604,link,,,322,1000941,link 471
N1,21.3297771,92.0787771,bridge,,C,860,1000942,bridge 467
N1,21.324666,92.084583,link,,,966,1000943,link 472
N1,21.3241104,92.085333,bridge,,C,564,1000944,bridge 468
N1,21.32242985,92.0873191,link,,,564,1000945,link 473
N1,21.3207493,92.0893052,bridge,,A,336,1000946,bridge 469
N1,21.3187493,92.0916108,link,,,451,1000947,link 474
N1,21.3179438,92.0921663,bridge,,A,101,1000948,bridge 470
N1,21.317666,92.0930274,link,,,814,1000949,link 475
N1,21.3125,92.096333,bridge,,C,76,1000950,bridge 471
N1,21.3120278,92.0969163,link,,,1055,1000951,link 476
N1,21.3039722,92.0967497,bridge,,B,23,1000952,bridge 472
N1,21.3037778,92.0968052,link,,,578,1000953,link 477
N1,21.2989441,92.0976108,bridge,,C,425,1000954,bridge 473
N1,21.29729135,92.0984997,link,,,425,1000955,link 478
N1,21.2956386,92.0993886,bridge,,B,81,1000956,bridge 474
N1,21.2949163,92.0994163,link,,,1320,1000957,link 479
N1,21.2839441,92.1005278,bridge,,C,136,1000958,bridge 475
N1,21.28336081,92.10060383,link,,,136,1000959,link 480
N1,21.28277751,92.10067986,bridge,,B,440,1000960,bridge 476
N1,21.28093011,92.10132603,link,,,440,1000961,link 481
N1,21.2790827,92.1019722,bridge,,A,168,1000962,bridge 477
N1,21.277666,92.1026111,link,,,1179,1000963,link 482
N1,21.2694716,92.1066667,bridge,,B,291,1000964,bridge 478
N1,21.268666,92.10775,link,,,291,1000965,link 483
N1,21.2678604,92.1088333,bridge,,C,607,1000966,bridge 479
N1,21.26623575,92.11113885,link,,,607,1000967,link 484
N1,21.2646111,92.1134444,bridge,,C,89,1000968,bridge 480
N1,21.2641111,92.1140833,link,,,103,1000969,link 485
N1,21.2639722,92.1141944,bridge,,A,278,1000970,bridge 481
N1,21.26316665,92.11518055,link,,,278,1000971,link 486
N1,21.2623611,92.1161667,bridge,,A,733,1000972,bridge 482
N1,21.2580278,92.1214438,link,,,956,1000973,link 487
N1,21.2565556,92.122916,bridge,,A,252,1000974,bridge 483
N1,21.2557917,92.12374935,link,,,252,1000975,link 488
N1,21.2550278,92.1245827,bridge,,A,250,1000976,bridge 484
N1,21.2544028,92.12561045,link,,,250,1000977,link 489
N1,21.2537778,92.1266382,bridge,,A,276,1000978,bridge 485
N1,21.2521944,92.1286104,link,,,293,1000979,link 490
N1,21.2521111,92.1287493,bridge,,A,120,1000980,bridge 486
N1,21.25129165,92.1297493,link,,,120,1000981,link 491
N1,21.2504722,92.1307493,bridge,,C,870,1000982,bridge 487
N1,21.2492776,92.13243005,link,,,870,1000983,link 492
N1,21.248083,92.1341108,bridge,,A,54,1000984,bridge 488
N1,21.2462219,92.1364719,link,,,737,1000985,link 493
N1,21.242333,92.1413608,bridge,,D,324,1000986,bridge 489
N1,21.2412497,92.1440552,link,,,3576,1000987,link 494
N1,21.2261382,92.1611667,bridge,,C,209,1000988,bridge 490
N1,21.22523545,92.16130555,link,,,209,1000989,link 495
N1,21.2243327,92.1614444,bridge,,A,527,1000990,bridge 491
N1,21.2198049,92.1618611,link,,,927,1000991,link 496
N1,21.2165556,92.1626944,bridge,,C,302,1000992,bridge 492
N1,21.2159167,92.1638333,link,,,302,1000993,link 497
N1,21.2152778,92.1649722,bridge,,C,195,1000994,bridge 493
N1,21.2147778,92.1658191,link,,,195,1000995,link 498
N1,21.2142778,92.166666,bridge,,B,106,1000996,bridge 494
N1,21.21375,92.1674438,link,,,234,1000997,link 499
N1,21.2127222,92.1678882,bridge,,C,243,1000998,bridge 495
N1,21.21165275,92.1680132,link,,,243,1000999,link 500
N1,21.2105833,92.1681382,bridge,,C,100,1001000,bridge 496
N1,21.21013885,92.1682771,link,,,100,1001001,link 501
N1,21.2096944,92.168416,bridge,,B,536,1001002,bridge 497
N1,21.2056389,92.1703327,link,,,1062,1001003,link 502
N1,21.2011389,92.170416,bridge,,C,247,1001004,bridge 498
N1,21.2000693,92.1703882,link,,,247,1001005,link 503
N1,21.1989997,92.1703604,bridge,,A,125,1001006,bridge 499
N1,21.1977219,92.1705549,link,,A,285,1001007,link 504
N1,21.1965552,92.1708604,bridge,,D,483,1001008,bridge 500
N1,21.1945552,92.170291,link,,,483,1001009,link 505
N1,21.1925552,92.1697216,bridge,,A,302,1001010,bridge 501
N1,21.191583,92.1688188,link,,,302,1001011,link 506
N1,21.1906108,92.167916,bridge,,C,173,1001012,bridge 502
N1,21.1897497,92.166666,link,,,629,1001013,link 507
N1,21.1866386,92.1638056,bridge,,C,313,1001014,bridge 503
N1,21.18629135,92.16244445,link,,,313,1001015,link 508
N1,21.1859441,92.1610833,bridge,,A,255,1001016,bridge 504
N1,21.1843052,92.1594167,link,,,954,1001017,link 509
N1,21.178666,92.1574722,bridge,,C,290,1001018,bridge 505
N1,21.1761938,92.1566111,link,,,533,1001019,link 510
N1,21.1742771,92.1557222,bridge,,A,281,1001020,bridge 506
N1,21.1730549,92.15543055,link,,,281,1001021,link 511
N1,21.1718327,92.1551389,bridge,,A,242,1001022,bridge 507
N1,21.1708188,92.1548611,link,,,242,1001023,link 512
N1,21.1698049,92.1545833,bridge,,C,203,1001024,bridge 508
N1,21.16911045,92.15393055,link,,,203,1001025,link 513
N1,21.168416,92.1532778,bridge,,A,110,1001026,bridge 509
N1,21.1677216,92.1527778,link,,,175,1001027,link 514
N1,21.1673327,92.1524167,bridge,,A,252,1001028,bridge 510
N1,21.16627745,92.1522917,link,,,252,1001029,link 515
N1,21.1652222,92.1521667,bridge,,A,226,1001030,bridge 511
N1,21.1642361,92.15219445,link,,,226,1001031,link 516
N1,21.16325,92.1522222,bridge,,B,88,1001032,bridge 512
N1,21.1628611,92.15225,link,,,88,1001033,link 517
N1,21.1624722,92.1522778,bridge,,A,235,1001034,bridge 513
N1,21.16144445,92.1523889,link,,,235,1001035,link 518
N1,21.1604167,92.1525,bridge,,A,108,1001036,bridge 514
N1,21.1595,92.1526111,link,,,129,1001037,link 519
N1,21.1593056,92.1526111,bridge,,A,73,1001038,bridge 515
N1,21.15898615,92.15255555,link,,,73,1001039,link 520
N1,21.1586667,92.1525,bridge,,A,354,1001040,bridge 516
N1,21.1571528,92.1526389,link,,,354,1001041,link 521
N1,21.1556389,92.1527778,bridge,,A,216,1001042,bridge 517
N1,21.15470835,92.15281945,link,,,216,1001043,link 522
N1,21.1537778,92.1528611,bridge,,A,212,1001044,bridge 518
N1,21.1529861,92.15319445,link,,,212,1001045,link 523
N1,21.1521944,92.1535278,bridge,,A,197,1001046,bridge 519
N1,21.1507222,92.1545,link,,,735,1001047,link 524
N1,21.147333,92.1574167,bridge,,C,368,1001048,bridge 520
N1,21.1458052,92.1580278,link,,,368,1001049,link 525
N1,21.1442774,92.1586389,bridge,,A,100,1001050,bridge 521
N1,21.1435274,92.1589722,link,,,348,1001051,link 526
N1,21.1414997,92.1599167,bridge,,A,663,1001052,bridge 522
N1,21.13980525,92.1623889,link,,,663,1001053,link 527
N1,21.1381108,92.1648611,bridge,,A,116,1001054,bridge 523
N1,21.1379719,92.1659167,link,,,239,1001055,link 528
N1,21.137833,92.1671104,bridge,,A,130,1001056,bridge 524
N1,21.1376941,92.16770765,link,,,130,1001057,link 529
N1,21.1375552,92.1683049,bridge,,A,271,1001058,bridge 525
N1,21.13738855,92.16959655,link,,,271,1001059,link 530
N1,21.1372219,92.1708882,bridge,,A,199,1001060,bridge 526
N1,21.13716635,92.17183265,link,,,199,1001061,link 531
N1,21.1371108,92.1727771,bridge,,B,120,1001062,bridge 527
N1,21.1369997,92.17334655,link,,,120,1001063,link 532
N1,21.1368886,92.173916,bridge,,A,158,1001064,bridge 528
N1,21.1363886,92.1752493,link,,,189,1001065,link 533
N1,21.1363608,92.1755549,bridge,,A,213,1001066,bridge 529
N1,21.1358747,92.1763188,link,,,213,1001067,link 534
N1,21.1353886,92.1770827,bridge,,A,493,1001068,bridge 530
N1,21.1343886,92.17888825,link,,,493,1001069,link 535
N1,21.1333886,92.1806938,bridge,,A,193,1001070,bridge 531
N1,21.1331662,92.1815688,link,,,193,1001071,link 536
N1,21.1329438,92.1824438,bridge,,A,96,1001072,bridge 532
N1,21.1326938,92.183333,link,,,256,1001073,link 537
N1,21.1319716,92.1846108,bridge,,A,174,1001074,bridge 533
N1,21.1314716,92.18515245,link,,,174,1001075,link 538
N1,21.1309716,92.1856941,bridge,,A,665,1001076,bridge 534
N1,21.1269438,92.1902219,link,,,677,1001077,link 539
N1,21.1268327,92.1902774,bridge,,A,336,1001078,bridge 535
N1,21.1255549,92.191083,link,,,336,1001079,link 540
N1,21.1242771,92.1918886,bridge,,B,40,1001080,bridge 536
N1,21.1241382,92.19194415,link,,,40,1001081,link 541
N1,21.1239993,92.1919997,bridge,,A,134,1001082,bridge 537
N1,21.1234993,92.192333,link,,,134,1001083,link 542
N1,21.1229993,92.1926663,bridge,,A,112,1001084,bridge 538
N1,21.12258265,92.1929302,link,,,112,1001085,link 543
N1,21.122166,92.1931941,bridge,,A,84,1001086,bridge 539
N1,21.12183265,92.19337465,link,,,84,1001087,link 544
N1,21.1214993,92.1935552,bridge,,C,283,1001088,bridge 540
N1,21.1198604,92.1954719,link,,,394,1001089,link 545
N1,21.1190827,92.1960274,bridge,,C,192,1001090,bridge 541
N1,21.1183327,92.19634685,link,,,192,1001091,link 546
N1,21.1175827,92.1966663,bridge,,B,127,1001092,bridge 542
N1,21.11704135,92.1967913,link,,,127,1001093,link 547
N1,21.1165,92.1969163,bridge,,C,51,1001094,bridge 543
N1,21.11631945,92.196958,link,,,51,1001095,link 548
N1,21.1161389,92.1969997,bridge,,C,38,1001096,bridge 544
N1,21.1158333,92.1971386,link,,,125,1001097,link 549
N1,21.1151667,92.1975552,bridge,,C,454,1001098,bridge 545
N1,21.1121111,92.2002778,link,,,502,1001099,link 550
N1,21.1118611,92.2006389,bridge,,C,314,1001100,bridge 546
N1,21.11045835,92.20258335,link,,,314,1001101,link 551
N1,21.1090556,92.2045278,bridge,,C,430,1001102,bridge 547
N1,21.10844445,92.20519445,link,,,430,1001103,link 552
N1,21.1078333,92.2058611,bridge,,A,197,1001104,bridge 548
N1,21.1078333,92.20640275,link,,,197,1001105,link 553
N1,21.1078333,92.2069444,bridge,,A,69,1001106,bridge 549
N1,21.1058333,92.20725,link,,,134,1001107,link 554
N1,21.1053611,92.2073889,bridge,,C,120,1001108,bridge 550
N1,21.1048611,92.20745835,link,,,120,1001109,link 555
N1,21.1043611,92.2075278,bridge,,C,206,1001110,bridge 551
N1,21.1035,92.2076528,link,,,206,1001111,link 556
N1,21.1026389,92.2077778,bridge,,A,171,1001112,bridge 552
N1,21.10195835,92.20795835,link,,,171,1001113,link 557
N1,21.1012778,92.2081389,bridge,,B,220,1001114,bridge 553
N1,21.1004582,92.2086528,link,,,220,1001115,link 558
N1,21.0996386,92.2091667,bridge,,A,284,1001116,bridge 554
N1,21.0975552,92.2105,link,,,312,1001117,link 559
N1,21.097333,92.2106111,bridge,,B,399,1001118,bridge 555
N1,21.09563855,92.2112361,link,,,399,1001119,link 560
N1,21.0939441,92.2118611,bridge,,A,194,1001120,bridge 556
N1,21.09312465,92.2120972,link,,,194,1001121,link 561
N1,21.0923052,92.2123333,bridge,,C,235,1001122,bridge 557
N1,21.0913191,92.21263885,link,,,235,1001123,link 562
N1,21.090333,92.2129444,bridge,,A,143,1001124,bridge 558
N1,21.0891941,92.2135,link,,,489,1001125,link 563
N1,21.0864997,92.2151111,bridge,,A,68,1001126,bridge 559
N1,21.0862219,92.21525,link,,,68,1001127,link 564
N1,21.0859441,92.2153889,bridge,,A,252,1001128,bridge 560
N1,21.08490245,92.21575,link,,,252,1001129,link 565
N1,21.0838608,92.2161111,bridge,,A,332,1001130,bridge 561
N1,21.0811104,92.2169438,link,,,437,1001131,link 566
N1,21.0803049,92.2174993,bridge,,A,261,1001132,bridge 562
N1,21.0793188,92.21806875,link,,,261,1001133,link 567
N1,21.0783327,92.2186382,bridge,,A,58,1001134,bridge 563
N1,21.07812435,92.21881875,link,,,58,1001135,link 568
N1,21.077916,92.2189993,bridge,,A,259,1001136,bridge 564
N1,21.07723545,92.2199993,link,,,259,1001137,link 569
N1,21.0765549,92.2209993,bridge,,B,259,1001138,bridge 565
N1,21.075541,92.2215271,link,,,259,1001139,link 570
N1,21.0745271,92.2220549,bridge,,A,146,1001140,bridge 566
N1,21.0735271,92.2226104,link,,,256,1001141,link 571
N1,21.0728327,92.2232216,bridge,,C,181,1001142,bridge 567
N1,21.07224935,92.2237216,link,,,181,1001143,link 572
N1,21.071666,92.2242216,bridge,,D,312,1001144,bridge 568
N1,21.0703882,92.2244299,link,,,312,1001145,link 573
N1,21.0691104,92.2246382,bridge,,B,250,1001146,bridge 569
N1,21.0679993,92.2246243,link,,,250,1001147,link 574
N1,21.0668882,92.2246104,bridge,,B,146,1001148,bridge 570
N1,21.0655833,92.2245549,link,,,223,1001149,link 575
N1,21.0650556,92.2245271,bridge,,C,261,1001150,bridge 571
N1,21.0640278,92.2250132,link,,,261,1001151,link 576
N1,21.063,92.2254993,bridge,,C,187,1001152,bridge 572
N1,21.0622778,92.2258882,link,,,187,1001153,link 577
N1,21.0615556,92.2262771,bridge,,A,204,1001154,bridge 573
N1,21.0606667,92.22633265,link,,,204,1001155,link 578
N1,21.0597778,92.2263882,bridge,,C,356,1001156,bridge 574
N1,21.0565833,92.2266104,link,,,540,1001157,link 579
N1,21.0549722,92.2268049,bridge,,C,648,1001158,bridge 575
N1,21.05316665,92.2285271,link,,,648,1001159,link 580
N1,21.0513611,92.2302493,bridge,,B,162,1001160,bridge 576
N1,21.0513056,92.2317493,link,,,226,1001161,link 581
N1,21.0512778,92.2323327,bridge,,C,189,1001162,bridge 577
N1,21.051,92.23309675,link,,,189,1001163,link 582
N1,21.0507222,92.2338608,bridge,,A,327,1001164,bridge 578
N1,21.04933315,92.2342497,link,,,327,1001165,link 583
N1,21.0479441,92.2346386,bridge,,A,381,1001166,bridge 579
N1,21.0463191,92.23516635,link,,,381,1001167,link 584
N1,21.0446941,92.2356941,bridge,,A,86,1001168,bridge 580
N1,21.0439163,92.2359441,link,,,483,1001169,link 585
N1,21.0407497,92.2374997,bridge,,A,540,1001170,bridge 581
N1,21.03855525,92.2385969,link,,,540,1001171,link 586
N1,21.0363608,92.2396941,bridge,,A,311,1001172,bridge 582
N1,21.0338608,92.2407774,link,,,514,1001173,link 587
N1,21.0321104,92.241083,bridge,,A,233,1001174,bridge 583
N1,21.03108265,92.2412219,link,,,233,1001175,link 588
N1,21.0300549,92.2413608,bridge,,B,353,1001176,bridge 584
N1,21.02849935,92.24152745,link,,,353,1001177,link 589
N1,21.0269438,92.2416941,bridge,,A,209,1001178,bridge 585
N1,21.0249993,92.2418608,link,,,452,1001179,link 590
N1,21.0228882,92.2420274,bridge,,A,519,1001180,bridge 586
N1,21.0186104,92.2431386,link,,,725,1001181,link 591
N1,21.0169993,92.2440274,bridge,,A,256,1001182,bridge 587
N1,21.0160413,92.2446802,link,,,256,1001183,link 592
N1,21.0150833,92.245333,bridge,,C,606,1001184,bridge 588
N1,21.0107222,92.2487219,link,,,697,1001185,link 593
N1,21.0101389,92.2492497,bridge,,A,316,1001186,bridge 589
N1,21.0090139,92.25012485,link,,,316,1001187,link 594
N1,21.0078889,92.251,bridge,,A,200,1001188,bridge 590
N1,21.00716665,92.25154165,link,,,200,1001189,link 595
N1,21.0064444,92.2520833,bridge,,C,424,1001190,bridge 591
N1,21.0029444,92.2531944,link,,,869,1001191,link 596
N1,20.9990274,92.2537778,bridge,,B,552,1001192,bridge 592
N1,20.99663855,92.2541528,link,,,552,1001193,link 597
N1,20.9942497,92.2545278,bridge,,A,33,1001194,bridge 593
N1,20.9940274,92.2546111,link,,,776,1001195,link 598
N1,20.9875274,92.2545556,bridge,,B,276,1001196,bridge 594
N1,20.9852774,92.2536389,link,,,1168,1001197,link 599
N1,20.9778049,92.25075,bridge,,C,108,1001198,bridge 595
N1,20.9769438,92.2502222,link,,,968,1001199,link 600
N1,20.9697216,92.2485552,bridge,,B,174,1001200,bridge 596
N1,20.9682771,92.2488052,link,,,293,1001201,link 601
N1,20.9673604,92.2491663,bridge,,C,379,1001202,bridge 597
N1,20.96611075,92.25034705,link,,,379,1001203,link 602
N1,20.9648611,92.2515278,bridge,,A,322,1001204,bridge 598
N1,20.96356945,92.25220835,link,,,322,1001205,link 603
N1,20.9622778,92.2528889,bridge,,A,199,1001206,bridge 599
N1,20.9606389,92.2535,link,,,501,1001207,link 604
N1,20.9580833,92.2543056,bridge,,A,169,1001208,bridge 600
N1,20.957375,92.2545556,link,,,169,1001209,link 605
N1,20.9566667,92.2548056,bridge,,B,336,1001210,bridge 601
N1,20.9552778,92.2553889,link,,,336,1001211,link 606
N1,20.9538889,92.2559722,bridge,,A,93,1001212,bridge 602
N1,20.9535278,92.256125,link,,,93,1001213,link 607
N1,20.9531667,92.2562778,bridge,,B,120,1001214,bridge 603
N1,20.95270835,92.25644445,link,,,120,1001215,link 608
N1,20.95225,92.2566111,bridge,,A,15,1001216,bridge 604
N1,20.9521667,92.2566944,link,,,350,1001217,link 609
N1,20.94957125,92.25817741,bridge,,A,166,1001218,bridge 605
N1,20.94892433,92.25854705,link,,,166,1001219,link 610
N1,20.9482774,92.2589167,bridge,,A,376,1001220,bridge 606
N1,20.94709685,92.259625,link,,,376,1001221,link 611
N1,20.9459163,92.2603333,bridge,,B,186,1001222,bridge 607
N1,20.9445552,92.2603333,link,,,286,1001223,link 612
N1,20.9436941,92.2603056,bridge,,C,751,1001224,bridge 608
N1,20.94054135,92.26131945,link,,,751,1001225,link 613
N1,20.9373886,92.2623333,bridge,,C,149,1001226,bridge 609
N1,20.9361663,92.2628611,link,,,161,1001227,link 614
N1,20.9361108,92.2628611,bridge,,A,165,1001228,bridge 610
N1,20.93538855,92.2630139,link,,,165,1001229,link 615
N1,20.9346663,92.2631667,bridge,,C,40,1001230,bridge 611
N1,20.93449965,92.26320835,link,,,40,1001231,link 616
N1,20.934333,92.26325,bridge,,C,149,1001232,bridge 612
N1,20.93369395,92.263375,link,,,149,1001233,link 617
N1,20.9330549,92.2635,bridge,,B,388,1001234,bridge 613
N1,20.93136045,92.26380555,link,,,388,1001235,link 618
N1,20.929666,92.2641111,bridge,,C,293,1001236,bridge 614
N1,20.9270827,92.2644444,link,,,673,1001237,link 619
N1,20.9238882,92.2653889,bridge,,A,581,1001238,bridge 615
N1,20.92173545,92.26690245,link,,,581,1001239,link 620
N1,20.9195827,92.268416,bridge,,B,72,1001240,bridge 616
N1,20.919291,92.2685271,link,,,72,1001241,link 621
N1,20.9189993,92.2686382,bridge,,A,29,1001242,bridge 617
N1,20.9187771,92.2687771,link,,,170,1001243,link 622
N1,20.9176382,92.2692493,bridge,,A,254,1001244,bridge 618
N1,20.9166802,92.2698743,link,,,254,1001245,link 623
N1,20.9157222,92.2704993,bridge,,B,269,1001246,bridge 619
N1,20.91468055,92.27117985,link,,,269,1001247,link 624
N1,20.9136389,92.2718604,bridge,,A,83,1001248,bridge 620
N1,20.91345835,92.2720271,link,,,83,1001249,link 625
N1,20.9132778,92.2721938,bridge,,A,117,1001250,bridge 621
N1,20.91283335,92.2725827,link,,,117,1001251,link 626
N1,20.9123889,92.2729716,bridge,,A,25,1001252,bridge 622
N1,20.9122222,92.2729438,link,,,471,1001253,link 627
N1,20.9088889,92.275166,bridge,,A,285,1001254,bridge 623
N1,20.90781945,92.27583265,link,,,285,1001255,link 628
N1,20.90675,92.2764993,bridge,,A,122,1001256,bridge 624
N1,20.9063472,92.27680485,link,,,122,1001257,link 629
N1,20.9059444,92.2771104,bridge,,A,145,1001258,bridge 625
N1,20.9048333,92.277916,link,,,162,1001259,link 630
N1,20.9047222,92.2779716,bridge,,A,194,1001260,bridge 626
N1,20.90402775,92.2784577,link,,,194,1001261,link 631
N1,20.9033333,92.2789438,bridge,,B,103,1001262,bridge 627
N1,20.90302775,92.2791799,link,,,103,1001263,link 632
N1,20.9027222,92.279416,bridge,,C,310,1001264,bridge 628
N1,20.90152775,92.2800688,link,,,310,1001265,link 633
N1,20.9003333,92.2807216,bridge,,A,149,1001266,bridge 629
N1,20.8998887,92.2812216,link,,,149,1001267,link 634
N1,20.8994441,92.2817216,bridge,,B,164,1001268,bridge 630
N1,20.898958,92.282291,link,,,164,1001269,link 635
N1,20.8984719,92.2828604,bridge,,A,61,1001270,bridge 631
N1,20.8981108,92.2832493,link,,,84,1001271,link 636
N1,20.8980274,92.283333,bridge,,A,52,1001272,bridge 632
N1,20.89788855,92.28351355,link,,,52,1001273,link 637
N1,20.8977497,92.2836941,bridge,,A,209,1001274,bridge 633
N1,20.897333,92.2845691,link,,,209,1001275,link 638
N1,20.8969163,92.2854441,bridge,,A,79,1001276,bridge 634
N1,20.89673575,92.28576355,link,,,79,1001277,link 639
N1,20.8965552,92.286083,bridge,,A,218,1001278,bridge 635
N1,20.895958,92.28690245,link,,,218,1001279,link 640
N1,20.8953608,92.2877219,bridge,,A,84,1001280,bridge 636
N1,20.895083,92.287958,link,,,84,1001281,link 641
N1,20.8948052,92.2881941,bridge,,A,103,1001282,bridge 637
N1,20.8944441,92.28848575,link,,,103,1001283,link 642
N1,20.894083,92.2887774,bridge,,B,129,1001284,bridge 638
N1,20.8936802,92.289208,link,,,129,1001285,link 643
N1,20.8932774,92.2896386,bridge,,A,79,1001286,bridge 639
N1,20.8930274,92.2898886,link,,,79,1001287,link 644
N1,20.8927774,92.2901386,bridge,,C,20,1001288,bridge 640
N1,20.8926386,92.2902774,link,,,192,1001289,link 645
N1,20.8919163,92.2916663,bridge,,A,75,1001290,bridge 641
N1,20.891833,92.2923052,link,,,817,1001291,link 646
N1,20.8889163,92.2982497,bridge,,A,272,1001292,bridge 642
N1,20.8869441,92.2996386,link,,,406,1001293,link 647
N1,20.8858608,92.2991941,bridge,,A,473,1001294,bridge 643
N1,20.88394395,92.29848575,link,,,473,1001295,link 648
N1,20.8820271,92.2977774,bridge,,C,430,1001296,bridge 644
N1,20.8782216,92.2977774,link,,,593,1001297,link 649
N1,20.8768604,92.2978886,bridge,,C,836,1001298,bridge 645
N1,20.8692771,92.2981386,link,,,887,1001299,link 650
N1,20.8688604,92.2982219,bridge,,C,427,1001300,bridge 646
N1,20.8669441,92.2982358,link,,,427,1001301,link 651
N1,20.8650278,92.2982497,bridge,,A,220,1001302,bridge 647
N1,20.8629722,92.298083,link,,,350,1001303,link 652
N1,20.8629167,92.298083,sourcesink,,,0,1001304,sourcesink
N102,23.4789716,91.1181938,intersection,N1,,329,1000126,intersection
N102,23.48027715,91.11748545,link,,,329,1001306,link 653
N102,23.4815827,91.1167771,bridge,,A,665,1001307,bridge 648
N102,23.4841245,91.1150691,link,,,665,1001308,link 654
N102,23.4866663,91.1133611,bridge,,B,5,1001309,bridge 649
N102,23.4867219,91.1133056,link,,,1069,1001310,link 655
N102,23.4937774,91.1064722,bridge,,A,301,1001311,bridge 650
N102,23.4950552,91.10619445,link,,,301,1001312,link 656
N102,23.496333,91.1059167,bridge,,A,154,1001313,bridge 651
N102,23.49701355,91.10575,link,,,154,1001314,link 657
N102,23.4976941,91.1055833,bridge,,A,480,1001315,bridge 652
N102,23.5020278,91.1050556,link,,,1741,1001316,link 658
N102,23.5112222,91.0981108,bridge,,A,738,1001317,bridge 653
N102,23.5166389,91.0939441,link,,,2819,1001318,link 659
N102,23.5323882,91.0834719,bridge,,A,1000,1001319,bridge 654
N102,23.5419441,91.0772771,link,,,1457,1001320,link 660
N102,23.5421941,91.0742493,bridge,,A,512,1001321,bridge 655
N102,23.5457774,91.0706104,link,,,1186,1001322,link 661
N102,23.5501111,91.0661389,bridge,,A,326,1001323,bridge 656
N102,23.5523611,91.064,link,,,2202,1001324,link 662
N102,23.5605,91.0553056,bridge,,A,92,1001325,bridge 657
N102,23.5553472,91.0551389,link,,,92,1001326,link 663
N102,23.5501944,91.0549722,bridge,,A,7,1001327,bridge 658
N102,23.5669438,91.0549167,link,,,3160,1001328,link 664
N102,23.5825549,91.0352497,bridge,,A,864,1001329,bridge 659
N102,23.5858886,91.0283049,link,,,2218,1001330,link 665
N102,23.5879997,91.0158333,bridge,,C,614,1001331,bridge 660
N102,23.5902219,91.01,link,,,862,1001332,link 666
N102,23.5911108,91.0077778,bridge,,C,751,1001333,bridge 661
N102,23.5935552,91.0011944,link,,,931,1001334,link 667
N102,23.5944441,90.9996663,bridge,,C,359,1001335,bridge 662
N102,23.59549965,90.99838855,link,,,359,1001336,link 668
N102,23.5965552,90.9971108,bridge,,A,460,1001337,bridge 663
N102,23.5997219,90.9941386,link,,,1654,1001338,link 669
N102,23.6080278,90.9883608,bridge,,A,390,1001339,bridge 664
N102,23.6091528,90.9868469,link,,,390,1001340,link 670
N102,23.6102778,90.985333,bridge,,D,446,1001341,bridge 665
N102,23.6122222,90.9818049,link,,,1163,1001342,link 671
N102,23.6165278,90.9769438,bridge,,B,283,1001343,bridge 666
N102,23.6187493,90.9756104,link,,,902,1001344,link 672
N102,23.6236104,90.9727771,bridge,,A,379,1001345,bridge 667
N102,23.6268882,90.9710549,link,,,1230,1001346,link 673
N102,23.6341663,90.9707771,bridge,,C,149,1001347,bridge 668
N102,23.6354719,90.9708327,link,,,1003,1001348,link 674
N102,23.6430552,90.9710827,bridge,,C,152,1001349,bridge 669
