road,lat,lon,model_type,length,condition,id,name
N1,23.5304993,90.7731104,bridge,814,C,1000102,bridge 59
N1,23.5308049,90.7811104,link,892,,1000103,link 44
N1,23.5312216,90.7895552,bridge,107,A,1000104,bridge 60
N1,23.531166,90.7907219,link,1402,,1000105,link 45
N1,23.5308882,90.8041389,bridge,597,B,1000106,bridge 61
N1,23.5316382,90.8099167,link,1594,,1000107,link 46
N1,23.5346663,90.8249716,bridge,405,B,1000108,bridge 62
N1,23.5344997,90.8287216,link,1367,,1000109,link 47
N1,23.5270549,90.8391386,bridge,632,B,1000110,bridge 63
N1,23.523166,90.8438886,link,3064,,1000111,link 48
N1,23.5133056,90.8703049,bridge,143,C,1000112,bridge 64
N1,23.5133056,90.8703049,bridge,143,B,1000113,bridge 65
N1,23.5126667,90.871416,link,2714,,1000114,link 49
N1,23.5056111,90.8958886,bridge,77,A,1000115,bridge 66
N1,23.5056389,90.8966108,link,1911,,1000116,link 50
N1,23.50575,90.91525,bridge,88,A,1000117,bridge 67
N1,23.5057222,90.9160278,link,2273,,1000118,link 51
N1,23.5038611,90.9371386,bridge,351,B,1000119,bridge 68
N1,23.5033611,90.93920800000001,link,10,,1000120,link 52
N1,23.5028611,90.9412774,bridge,375,B,1000121,bridge 69
N1,23.5020278,90.9448886,link,2274,,1000122,link 53
N1,23.4980552,90.9660278,bridge,182,B,1000123,bridge 70
N1,23.4972774,90.9674716,link,1694,,1000124,link 54
N1,23.4951386,90.9829993,bridge,305,A,1000125,bridge 71
N1,23.4942497,90.985833,link,2801,,1000126,link 55
N1,23.4890552,91.0120278,bridge,227,C,1000127,bridge 72
N1,23.4890552,91.0120278,bridge,227,C,1000128,bridge 73
N1,23.488333,91.0140833,link,2933,,1000129,link 56
N1,23.481166,91.0404441,bridge,140,B,1000130,bridge 74
N1,23.4814716,91.0419719,link,871,,1000131,link 57
N1,23.4820827,91.0504167,bridge,128,B,1000132,bridge 75
