road	N713
name	Kushtia Town Bypass Road
length	7
from	Botoli
to	Trimohini
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1780
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1780&RoadNo=N713
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1780&RoadNo=N713
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1780&RoadNo=N713
