roadNo	roadId	startChainage	endChainage	width	nrLanes
N702	895	0	0.06	14.64	4
N702	895	0.06	0.12	9	3
N702	895	0.12	0.195	9	3
N702	895	0.195	0.64	7.2	2
N702	895	0.64	0.685	15	4
N702	895	0.685	1.455	7.3	2
N702	895	1.455	1.505	8	2
N702	895	1.505	1.565	16	4
N702	895	1.565	1.875	16	4
N702	895	1.875	5.44	7.2	2
N702	895	5.44	5.68	9	3
N702	895	5.68	6.925	7.2	2
N702	895	6.925	7.23	9	3
N702	895	7.23	11.61	7.2	2
N702	895	11.61	11.86	9	3
N702	895	11.86	12.66	7.2	2
N702	895	12.66	12.86	9	3
N702	895	12.86	21.68	7.2	2
N702	895	21.68	21.97	9	3
N702	895	21.97	29.205	7.32	2
N702	895	29.205	29.505	9	3
N702	895	29.505	33.3	7.32	2
N702	895	33.3	33.96	10	3
N702	895	33.96	38.519	7.32	2
N702	895	38.519	38.689	9	3
N702	895	38.689	41.742	7.32	2
N702	895	41.742	43.75	7.32	2
