road	N404
name	Tangail Old Section (Nagarjalpai-Baila) Road
length	6
from	Nagarjalpai
to	Baila
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1539
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1539&RoadNo=N404
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1539&RoadNo=N404
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1539&RoadNo=N404
