road	N402
name	Nakla-Nalitabadi-Nakugaon Road
length	28
from	Nakla
to	Nakugaon
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1637
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1637&RoadNo=N402
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1637&RoadNo=N402
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1637&RoadNo=N402
