road	N805
name	Bhanga-Bhatiapara-Mollahhat-Fakirhat-Noapara Road
length	111
from	Bhanga
to	Noapara
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1438
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1438&RoadNo=N805
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1438&RoadNo=N805
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1438&RoadNo=N805
