road	N809
name	Barishal-Laherhat-Veduria-Bhola-Illisha-Maju Chowdhuryhat-Lakshmipur Road
length	68
from	Barishal
to	Lakshmipur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1560
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1560&RoadNo=N809
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1560&RoadNo=N809
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1560&RoadNo=N809
