road	N712
name	jhenaidaha bus terminal-Arappur intersection-Alhera busstand
length	6
from	Jhenaidaha bus terminal
to	Alhera busstand
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1564
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1564&RoadNo=N712
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1564&RoadNo=N712
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1564&RoadNo=N712
