road	N509
name	Barabari-Lalmonirhat-Burimary Road
length	105
from	Barobari
to	Burimary
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1418
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1418&RoadNo=N509
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1418&RoadNo=N509
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1418&RoadNo=N509
