road	N516
name	Naogaon Town By-Pass Road
length	8
from	SP office
to	Santahar By-Pass
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1153
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1153&RoadNo=N516
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1153&RoadNo=N516
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1153&RoadNo=N516
