roadNo	roadId	startChainage	endChainage	width	nrLanes
N540	1399	0	0.12	13.26	4
N540	1399	0.12	0.7	14.5	4
N540	1399	0.7	1.25	14.45	4
N540	1399	1.25	2.98	14.49	4
N540	1399	2.98	3.12	22	6
N540	1399	3.12	4.4	14.5	4
N540	1399	4.4	4.84	14.54	4
N540	1399	4.84	4.9	14.45	4
N540	1399	4.9	5.8	14.49	4
N540	1399	5.8	8	14.6	4
N540	1399	8	8.1	14.6	4
N540	1399	8.1	8.57	14.6	4
N540	1399	8.57	9.165	14.54	4
N540	1399	9.165	10.26	14.5	4
N540	1399	10.26	11.35	14.45	4
N540	1399	11.35	11.475	14.49	4
N540	1399	11.475	13.5	14.45	4
N540	1399	13.5	13.9	14.44	4
N540	1399	13.9	14.16	14.6	4
N540	1399	14.16	15.7	14.51	4
N540	1399	15.7	16.01	14.44	4
