road	N602
name	Natore Town Old Section Road
length	6
from	New Bus Stand More
to	Station Bypass More(Bon Belghoria )
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1368
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1368&RoadNo=N602
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1368&RoadNo=N602
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1368&RoadNo=N602
