roadNo	roadId	startChainage	endChainage	width	nrLanes
N502	1339	0	0.325	10.2	3
N502	1339	0.325	0.365	9.5	3
N502	1339	0.365	0.455	10.5	3
N502	1339	0.455	1.7	5.5	2
N502	1339	1.7	2	9.5	3
N502	1339	2	6.02	5.5	2
N502	1339	6.02	6.2	9.5	3
N502	1339	6.2	8.1	5.5	2
N502	1339	8.1	8.35	9.5	3
N502	1339	8.35	10.2	5.5	2
N502	1339	10.2	10.35	9.5	3
N502	1339	10.35	12	5.5	2
N502	1339	12	12.25	9.8	3
N502	1339	12.25	13.94	5.5	2
N502	1339	13.94	14.29	9.8	3
N502	1339	14.29	15.48	5.7	2
N502	1339	15.48	15.58	9.5	3
N502	1339	15.58	18.38	5.5	2
N502	1339	18.38	18.63	9.8	3
N502	1339	18.63	22.89	5.5	2
N502	1339	22.89	23.48	11.5	3
N502	1339	23.48	25.49	5.7	2
N502	1339	25.49	25.79	11.5	3
N502	1339	25.79	29.4	5.7	2
N502	1339	29.4	29.7	11.5	3
N502	1339	29.7	35.3	5.7	2
N502	1339	35.3	37.3	7.3	2
N502	1339	37.3	37.43	9.5	3
N502	1339	37.43	43.18	5.7	2
N502	1339	43.18	43.63	8.2	2
N502	1339	43.63	43.815	14	4
N502	1339	43.815	44.31	7.5	2
N502	1339	44.31	48.75	6.7	2
N502	1339	48.75	54.19	5.5	2
N502	1339	54.19	54.6	6.7	2
N502	1339	54.6	55.51	60	4
N502	1339	55.51	57.39	5.5	2
N502	1339	57.39	58.81	6	2
N502	1339	58.81	60.08	7.35	2
N502	1339	60.08	61.01	8.2	2
N502	1339	61.01	62.42	7.6	2
N502	1339	62.42	63.29	7.6	2
