roadNo	roadId	startChainage	endChainage	width	nrLanes
N8	1629	0	0.868	13.2	4
N8	1629	0.868	0.969	17.4	4
N8	1629	0.969	0.99	17.53	4
N8	1629	0.99	1.17	17.4	4
N8	1629	1.17	1.389	17.53	4
N8	1629	1.389	2.754	14.2	4
N8	1629	2.754	3.167	23.2	7
N8	1629	3.167	3.703	7.5	2
N8	1629	3.703	3.877	15	4
N8	1629	3.877	3.985	17.5	4
N8	1629	3.985	6.651	7.5	2
N8	1629	6.651	6.775	17.3	4
N8	1629	6.775	8.2	7.5	2
N8	1629	8.2	9.97	7.3	2
N8	1629	9.97	10.053	17.3	4
N8	1629	10.053	11.408	7.3	2
N8	1629	11.408	11.637	18.3	4
N8	1629	11.637	11.74	17.5	4
N8	1629	11.74	13.77	18.3	4
N8	1629	13.77	19.975	7.3	2
N8	1629	19.975	20.058	17.3	4
N8	1629	20.058	23.805	7.3	2
N8	1629	23.805	23.885	12.3	4
N8	1629	23.885	25.131	7.3	2
N8	1629	25.131	25.2	12.5	4
N8	1629	25.2	26.085	7.3	2
N8	1629	26.085	26.15	12.5	4
N8	1629	26.15	27.22	7.3	2
N8	1629	27.22	27.292	17.3	4
N8	1629	27.292	29.989	7.3	2
N8	1629	29.989	30.056	17.3	4
N8	1629	30.056	33.65	7.3	2
N8	1629	33.65	33.78	14.6	4
N8	1629	33.78	34.05	11.5	3
N8	1629	34.05	34.85	11.5	3
N8	1629	45.2	45.65	7.5	2
N8	1629	45.65	45.733	12.5	4
N8	1629	45.733	48.426	7.5	2
N8	1629	48.426	48.526	18.5	4
N8	1629	48.526	50.305	7.5	2
N8	1629	50.305	50.391	12.5	4
N8	1629	50.391	56.338	7.5	2
N8	1629	56.338	56.43	12.5	4
N8	1629	56.43	58.718	7.5	2
N8	1629	58.718	58.875	18.5	4
N8	1629	58.875	63.357	7.5	2
N8	1629	63.357	63.514	18.5	4
N8	1629	63.514	64.017	7.5	2
N8	1629	64.017	64.104	12.5	4
N8	1629	64.104	67.895	7.5	2
N8	1629	67.895	68.095	10.8	3
N8	1629	68.095	68.865	7.3	2
N8	1629	68.865	74.751	7.3	2
N8	1629	74.751	77.705	7.3	2
N8	1629	77.705	79.732	7.6	2
N8	1629	79.732	87.335	7.3	2
N8	1629	87.335	87.451	14.6	4
N8	1629	87.451	91.011	7.3	2
N8	1629	91.011	103.08	7.3	2
N8	1629	103.08	103.16	9.3	3
N8	1629	103.16	111.5	7.3	2
N8	1629	111.5	113.61	7.3	2
N8	1629	113.61	115.34	7.3	2
N8	1629	115.34	123.68	5.5	2
N8	1629	123.68	123.86	7.5	2
N8	1629	123.86	126.36	5.5	2
N8	1629	126.36	126.42	5.5	2
N8	1629	126.42	127.003	5.5	2
N8	1629	127.003	128.172	5.5	2
N8	1629	128.172	131.82	5.5	2
N8	1629	131.82	132.37	5.5	2
N8	1629	132.37	133.974	5.5	2
N8	1629	133.974	134.586	5.5	2
N8	1629	134.586	139.077	5.5	2
N8	1629	139.077	150.445	7.7	2
N8	1629	150.445	153.745	5.7	2
N8	1629	153.745	155.955	5.4	1.5
N8	1629	155.955	158.15	5.6	2
N8	1629	158.15	160.194	5.6	2
N8	1629	160.194	161.065	5.6	2
N8	1629	161.065	161.245	8	2
N8	1629	161.245	163.395	5.6	2
N8	1629	163.395	164.461	5.5	2
N8	1629	164.461	164.495	16	4
N8	1629	164.495	164.645	16	4
N8	1629	164.645	164.945	7.5	2
N8	1629	164.945	165.445	5.5	2
N8	1629	165.445	165.69	5.5	2
N8	1629	165.69	165.755	5.5	2
N8	1629	165.755	165.945	5.5	2
N8	1629	165.945	167.088	5.5	2
N8	1629	167.088	167.112	10.2	3
N8	1629	167.112	167.164	10.5	3
N8	1629	167.164	167.322	10.3	3
N8	1629	167.322	168.737	7.9	2
N8	1629	168.737	169.568	10.1	3
N8	1629	169.568	169.857	7.9	2
N8	1629	169.857	173.088	10.1	3
N8	1629	173.088	173.119	10.4	3
N8	1629	173.119	173.188	10.3	3
N8	1629	173.188	191.763	5.5	2
N8	1629	191.763	192.22	5.5	2
N8	1629	192.22	192.507	7.5	2
N8	1629	193.037	194.387	7.6	2
N8	1629	194.387	194.875	6.7	2
N8	1629	194.875	199.841	7.6	2
N8	1629	199.841	200.585	5.5	2
N8	1629	200.585	205.058	7.5	2
N8	1629	205.058	205.127	7.6	2
