road	N403
name	Mirzapur Town old Section Road
length	4
from	Mirzapur East
to	Mirzapur West
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1373
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1373&RoadNo=N403
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1373&RoadNo=N403
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1373&RoadNo=N403
