road	N704
name	Jhenaidah-Kushtia-Paksey Ferry-Dasuria Road
length	82
from	Jhenaidah
to	Dasuria
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1510
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1510&RoadNo=N704
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1510&RoadNo=N704
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1510&RoadNo=N704
