road	N540
name	Nabinagar-EPZ-Kaliakoir (Chandra) Road
length	16
from	Nabinagar
to	Kaliakoir (Chandra)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1399
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1399&RoadNo=N540
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1399&RoadNo=N540
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1399&RoadNo=N540
