road	N515
name	Bogra 2nd Town By-Pass Road
length	16
from	Betgari
to	Matidali
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1340
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1340&RoadNo=N515
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1340&RoadNo=N515
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1340&RoadNo=N515
