road	N605
name	Rajshahi Greater Road
length	3
from	Rajshahi
to	Rajshahi
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1736
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1736&RoadNo=N605
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1736&RoadNo=N605
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1736&RoadNo=N605
