road	N518
name	Sayedpur Town Old Section (Sutkir More-Sonapukur)
length	4
from	Sutkir More
to	Sonapukur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1579
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1579&RoadNo=N518
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1579&RoadNo=N518
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1579&RoadNo=N518
