road	N510
name	Bogra Station Road
length	3
from	Satmatha
to	Teen Matha
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1365
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1365&RoadNo=N510
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1365&RoadNo=N510
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1365&RoadNo=N510
