road	N710
name	Khulna Town Old Section (Ferryghat-Dakbangla More)
length	0
from	Ferryghat
to	Dakbagla More
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1154
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1154&RoadNo=N710
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1154&RoadNo=N710
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1154&RoadNo=N710
