road	N7
name	Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road
length	250
from	Dauladia
to	Mongla (Digraj)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1628
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1628&RoadNo=N7
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1628&RoadNo=N7
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1628&RoadNo=N7
