road	N401
name	Madhupur-Mymensingh Road
length	47
from	Modhupur
to	Mymensingh
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1366
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1366&RoadNo=N401
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1366&RoadNo=N401
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1366&RoadNo=N401
