road	N504
name	Nagarbari (Pratappur)-Kashinathpur Road
length	7
from	Nagarbari (Pratappur)
to	Kashinathpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1367
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1367&RoadNo=N504
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1367&RoadNo=N504
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1367&RoadNo=N504
