road	N520
name	Ullapara Town Link Road
length	3
from	Ullapara
to	Ullapara Town
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1741
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1741&RoadNo=N520
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1741&RoadNo=N520
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1741&RoadNo=N520
