road	N8
name	Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road
length	205
from	Dhaka (Jatrabari)
to	Patuakhali
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1629
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1629&RoadNo=N8
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1629&RoadNo=N8
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1629&RoadNo=N8
