road	N802
name	2nd Buriganga Bridge Approach Road to National Highway N8
length	5
from	2nd Buriganga Bridge, Dhaka End
to	N8
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1604
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1604&RoadNo=N802
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1604&RoadNo=N802
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1604&RoadNo=N802
