roadNo	roadId	startChainage	endChainage	width	nrLanes
N805	1438	0	0.005	3.7	1
N805	1438	0.005	0.05	17.68	4
N805	1438	0.05	11.108	7.5	2
N805	1438	11.108	11.197	10.3	3
N805	1438	11.197	17.111	7.5	2
N805	1438	17.111	17.195	10.3	3
N805	1438	17.195	20.61	10.3	3
N805	1438	20.61	20.92	7.5	2
N805	1438	20.92	20.998	10.3	3
N805	1438	20.998	28.238	7.5	2
N805	1438	28.238	28.327	13.3	4
N805	1438	28.327	31.05	7.5	2
N805	1438	31.05	31.15	13.3	4
N805	1438	31.15	37.42	7.5	2
N805	1438	37.42	37.624	10.3	3
N805	1438	37.624	37.72	7.5	2
N805	1438	37.72	37.853	9.4	3
N805	1438	37.853	43.64	10.3	3
N805	1438	43.64	43.828	10.3	3
N805	1438	43.828	45.308	7.5	2
N805	1438	45.308	45.408	10.3	3
N805	1438	45.408	45.462	7.5	2
N805	1438	45.462	45.536	10.3	3
N805	1438	45.536	46.232	7.5	2
N805	1438	46.232	46.315	10.3	3
N805	1438	46.315	46.363	7.5	2
N805	1438	46.363	46.44	10.3	3
N805	1438	46.44	49.246	7.5	2
N805	1438	49.246	49.313	10.3	3
N805	1438	49.313	55.1	7.5	2
N805	1438	55.1	55.178	10.3	3
N805	1438	55.178	58.304	7.5	2
N805	1438	58.304	58.432	13.3	4
N805	1438	58.432	67.176	7.5	2
N805	1438	67.176	67.385	9.4	3
N805	1438	67.385	67.448	7.5	2
N805	1438	67.448	67.52	10.3	3
N805	1438	67.52	67.806	7.5	2
N805	1438	67.806	68.024	9.4	3
N805	1438	68.024	76.97	7.5	2
N805	1438	76.97	77.381	9.4	3
N805	1438	77.381	80.062	7.5	2
N805	1438	80.062	80.109	10.2	3
N805	1438	80.109	80.762	7.5	2
N805	1438	80.762	84.232	7.5	2
N805	1438	84.232	84.352	10.6	3
N805	1438	84.352	89.357	7.5	2
N805	1438	89.357	89.427	10.5	3
N805	1438	89.427	89.702	7.5	2
N805	1438	89.702	89.802	10.5	3
N805	1438	89.802	108.462	7.5	2
N805	1438	108.462	108.557	10.5	3
N805	1438	108.557	109.813	7.5	2
N805	1438	109.813	109.9	10.5	3
N805	1438	109.9	110.633	7.5	2
