road	N806
name	Bhatiapara-Kalna-Lohagara-Narail-Jessore Road
length	55
from	Bhatiapara
to	Jessore Monihor Cinema hall
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1778
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1778&RoadNo=N806
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1778&RoadNo=N806
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1778&RoadNo=N806
