road	N801
name	Barishal-Bhola Link Road
length	5
from	Barishal
to	Barishal
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1754
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1754&RoadNo=N801
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1754&RoadNo=N801
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1754&RoadNo=N801
