roadNo	roadId	startChainage	endChainage	width	nrLanes
N405	1508	0	0.1	12.4	4
N405	1508	0.1	0.2	14	4
N405	1508	0.2	0.47	7.3	2
N405	1508	0.47	0.52	10.3	3
N405	1508	0.52	0.58	7.3	2
N405	1508	0.58	0.802	0	0
N405	1508	0.802	7.5	7.3	2
N405	1508	7.5	7.55	10.3	3
N405	1508	7.55	9.5	7.3	2
N405	1508	9.5	9.62	10.3	3
N405	1508	9.62	11.98	7.3	2
N405	1508	11.98	12.06	10.3	3
N405	1508	12.06	12.44	7.3	2
N405	1508	12.44	12.52	10.3	3
N405	1508	12.52	12.56	7.3	2
N405	1508	12.56	20.115	14.6	4
N405	1508	20.115	28.52	7.3	2
N405	1508	28.52	28.6	10.3	3
N405	1508	28.6	28.75	7.3	2
N405	1508	28.75	28.85	10.3	3
N405	1508	28.85	30.47	7.3	2
N405	1508	30.47	30.56	10.3	3
N405	1508	30.56	31.815	7.3	2
N405	1508	31.815	31.895	10.3	3
N405	1508	31.895	33.6	7.3	2
N405	1508	33.6	33.675	10.3	3
N405	1508	33.675	35.8	7.3	2
N405	1508	35.8	35.865	10.3	3
N405	1508	35.865	36.635	7.3	2
N405	1508	36.635	36.715	10.3	3
N405	1508	36.715	40.78	7.3	2
