road	N702
name	Jessore (Daratana More)-Magura (Vaina More) Road
length	44
from	Jessore (Daratana More)
to	Magura (Vaina More)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=895
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=895&RoadNo=N702
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=895&RoadNo=N702
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=895&RoadNo=N702
