roadNo	roadId	startChainage	endChainage	width	nrLanes
N5	1529	0	13	15	4
N5	1529	13	13.5	15	4
N5	1529	13.5	13.97	24	7
N5	1529	13.97	14.5	15	4
N5	1529	14.5	22.343	14.6	4
N5	1529	22.343	23.3	6.7	2
N5	1529	23.3	24.11	7.5	2
N5	1529	24.11	25.94	12	3
N5	1529	25.94	28.05	6.1	2
N5	1529	28.05	28.22	14	4
N5	1529	28.22	34.61	6.8	2
N5	1529	34.61	34.84	12.6	4
N5	1529	34.84	39.22	7	2
N5	1529	39.22	40.7	11.5	3
N5	1529	40.7	43.88	7	2
N5	1529	43.88	45	12	4
N5	1529	45	48	12	4
N5	1529	48	49.12	6.8	2
N5	1529	49.12	49.87	6.8	2
N5	1529	49.87	50.02	14	4
N5	1529	50.02	51.42	11	3
N5	1529	51.42	54.85	12	4
N5	1529	54.85	57.95	6.8	2
N5	1529	57.95	61.75	7	2
N5	1529	61.75	63.65	12	4
N5	1529	63.65	64.83	6.8	2
N5	1529	64.83	65.9	7	2
N5	1529	65.9	68.13	12	4
N5	1529	68.13	70.44	7	2
N5	1529	70.44	71.34	6.8	2
N5	1529	71.34	72.34	8.4	2
N5	1529	72.34	75.82	8.4	2
N5	1529	75.82	76	8.5	2
N5	1529	76	76.04	14	4
N5	1529	76.04	78.309	8.5	2
N5	1529	99	99.045	6.8	2
N5	1529	99.045	101.43	7.8	2
N5	1529	101.43	109.597	7.3	2
N5	1529	109.597	110.347	11.3	3
N5	1529	110.347	110.854	7.4	2
N5	1529	110.854	112.414	7.3	2
N5	1529	112.414	113.017	7.3	2
N5	1529	113.017	116.894	7.3	2
N5	1529	116.894	122.214	7.3	2
N5	1529	122.214	123.224	7.3	2
N5	1529	123.224	123.292	14.6	4
N5	1529	123.292	123.434	12.5	4
N5	1529	123.434	123.726	7.5	2
N5	1529	123.726	130.494	7.4	2
N5	1529	130.494	131.36	7.3	2
N5	1529	131.36	131.784	8.5	2
N5	1529	131.784	135.53	7.4	2
N5	1529	135.53	135.605	7.5	2
N5	1529	135.605	136.98	7.3	2
N5	1529	136.98	137.15	8.5	2
N5	1529	137.15	138.05	7.3	2
N5	1529	138.05	138.57	7.3	2
N5	1529	138.57	142.15	7.3	2
N5	1529	142.15	143.08	7.3	2
N5	1529	143.08	143.45	7.3	2
N5	1529	143.45	144.732	7.3	2
N5	1529	144.732	144.85	7.3	2
N5	1529	144.85	145.276	7.3	2
N5	1529	145.276	147.13	7.3	2
N5	1529	147.13	147.478	7.3	2
N5	1529	147.478	148.32	7.3	2
N5	1529	148.32	148.513	12.5	4
N5	1529	148.513	149.79	7.3	2
N5	1529	149.79	150.17	7.3	2
N5	1529	150.17	152.001	7.3	2
N5	1529	152.001	152.456	7.4	2
N5	1529	152.456	154.08	7.4	2
N5	1529	154.08	154.33	8.5	2
N5	1529	154.33	155.09	7.4	2
N5	1529	155.09	155.492	7.4	2
N5	1529	155.492	156.726	7.4	2
N5	1529	156.726	157.045	8	2
N5	1529	157.045	157.17	7.4	2
N5	1529	157.17	157.52	7.4	2
N5	1529	157.52	158.138	7.4	2
N5	1529	158.138	158.525	7.4	2
N5	1529	158.525	159.702	7.4	2
N5	1529	159.702	160.65	7.4	2
N5	1529	160.65	161.308	7.4	2
N5	1529	161.308	161.721	7.4	2
N5	1529	161.721	165.14	7.4	2
N5	1529	165.14	165.25	8.5	2
N5	1529	165.25	165.374	14.6	4
N5	1529	165.374	165.693	10.5	3
N5	1529	165.693	168.07	7.4	2
N5	1529	168.07	169.41	7.4	2
N5	1529	169.41	170.74	7.4	2
N5	1529	170.74	171.49	7.4	2
N5	1529	171.49	171.86	7.4	2
N5	1529	171.86	172.796	7.3	2
N5	1529	172.796	176.63	7.4	2
N5	1529	176.63	179.683	7.4	2
N5	1529	179.683	179.756	7.4	2
N5	1529	179.756	181.12	7.4	2
N5	1529	181.12	181.706	7.4	2
N5	1529	181.706	182.056	7.4	2
N5	1529	182.056	182.56	7.4	2
N5	1529	182.56	182.655	7.4	2
N5	1529	182.655	184.81	10.3	3
N5	1529	184.81	189.09	7.4	2
N5	1529	189.09	190.13	10.3	3
N5	1529	190.13	190.781	7.4	2
N5	1529	190.781	191.098	7.4	2
N5	1529	191.098	194.6	10.3	3
N5	1529	194.6	197.41	7.5	2
N5	1529	197.41	198.2	7.4	2
N5	1529	198.2	199.242	14.8	4
N5	1529	199.242	200.926	7.5	2
N5	1529	200.926	203.239	7.5	2
N5	1529	203.239	207.97	7.5	2
N5	1529	207.97	214.65	7.5	2
N5	1529	214.65	216.28	7.5	2
N5	1529	216.28	217.23	7.4	2
N5	1529	217.23	218.032	14.4	4
N5	1529	218.032	218.94	10.3	3
N5	1529	218.94	221.432	7.5	2
N5	1529	221.432	227.45	7.3	2
N5	1529	227.45	232.015	7.2	2
N5	1529	232.015	232.995	7.2	2
N5	1529	232.995	240.09	7.3	2
N5	1529	240.09	240.99	7.2	2
N5	1529	240.99	242.245	7.3	2
N5	1529	242.245	242.595	7.2	2
N5	1529	242.595	248.345	7.2	2
N5	1529	248.345	255.915	7.2	2
N5	1529	255.915	259.145	7.3	2
N5	1529	259.145	273.84	7.3	2
N5	1529	273.84	274.46	7.2	2
N5	1529	274.46	289.32	7.3	2
N5	1529	289.32	291.01	7.25	2
N5	1529	291.01	307.52	7.3	2
N5	1529	307.52	307.765	7.3	2
N5	1529	307.765	319.69	7.2	2
N5	1529	319.69	319.89	7.3	2
N5	1529	319.89	323.27	7.2	2
N5	1529	323.27	331.15	17.2	4
N5	1529	331.15	332.162	7.4	2
N5	1529	332.162	333.962	7.3	2
N5	1529	333.962	339.764	7.3	2
N5	1529	339.764	341.167	7.3	2
N5	1529	341.167	341.467	9	3
