roadNo	roadId	startChainage	endChainage	width	nrLanes
N4	1538	0	0.26	19	4
N4	1538	0.26	2.2	7.4	2
N4	1538	2.2	2.546	11.4	3
N4	1538	2.546	35.234	7.4	2
N4	1538	35.234	35.634	9.3	3
N4	1538	35.634	36.334	10.4	3
N4	1538	36.334	39.234	7.4	2
N4	1538	39.234	39.464	9	3
N4	1538	39.464	42.064	7.4	2
N4	1538	42.064	42.194	12.2	4
N4	1538	42.194	45.564	7.4	2
N4	1538	45.564	45.694	21	4
N4	1538	45.694	47.694	7.4	2
N4	1538	47.694	47.834	7.4	2
N4	1538	47.834	58.934	7.4	2
N4	1538	58.934	59.114	10.5	3
N4	1538	59.114	65.372	7.4	2
N4	1538	65.372	69.914	7.2	2
N4	1538	69.914	70.134	7.6	2
N4	1538	70.134	70.934	7.4	2
N4	1538	70.934	71.074	10.4	3
N4	1538	71.074	77.074	5.8	2
N4	1538	77.074	77.374	5.8	2
N4	1538	77.374	80.993	5.8	2
N4	1538	80.993	81.524	7.4	2
N4	1538	81.524	85.024	5.8	2
N4	1538	85.024	85.474	7	2
N4	1538	85.474	86.024	5.5	2
N4	1538	86.024	90.124	5.8	2
N4	1538	90.124	91.124	9.2	3
N4	1538	91.124	91.294	7.4	2
N4	1538	91.294	96.694	5.8	2
N4	1538	96.694	97.194	8	2
N4	1538	97.194	104.994	5.8	2
N4	1538	104.994	106.594	7.5	2
N4	1538	106.594	106.884	10.5	3
N4	1538	106.884	107.044	5.8	2
N4	1538	107.044	107.594	5.8	2
N4	1538	107.594	112.16	5.8	2
N4	1538	112.16	118.26	5.8	2
N4	1538	118.26	118.81	6.8	2
N4	1538	118.81	119.36	10.2	3
N4	1538	119.36	119.86	7.6	2
N4	1538	119.86	146.305	5	1.5
