road	N701
name	Daulatdia Ferryghat by-pass Road
length	1
from	Daulatdia
to	Daulatdia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1758
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1758&RoadNo=N701
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1758&RoadNo=N701
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1758&RoadNo=N701
