road	N804
name	Bhanga-Faridpur (Goalchamot) Road
length	32
from	Bhanga
to	Faridpur (Goalchamot)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1430
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1430&RoadNo=N804
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1430&RoadNo=N804
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1430&RoadNo=N804
