road	N4
name	Joydebpur-Tangail-Jamalpur Road
length	146
from	Joydebpur
to	Jamalpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1538
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1538&RoadNo=N4
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1538&RoadNo=N4
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1538&RoadNo=N4
