roadNo	roadId	startChainage	endChainage	width	nrLanes
N7	1628	0	0.02	26	4
N7	1628	0.02	1	7.3	2
N7	1628	1	3.251	15	4
N7	1628	3.251	4.609	7.5	2
N7	1628	4.609	5.4	7.5	2
N7	1628	5.4	6.245	7.5	2
N7	1628	6.245	6.455	7.5	2
N7	1628	6.455	11.65	7.5	2
N7	1628	11.65	12.001	7.5	2
N7	1628	12.001	12.497	7.4	2
N7	1628	12.497	13.891	9.9	3
N7	1628	13.891	13.983	14.6	4
N7	1628	13.983	14.028	9.9	3
N7	1628	14.028	14.865	7.3	2
N7	1628	14.865	16.22	7.3	2
N7	1628	16.22	18.829	9.8	3
N7	1628	18.829	29.748	7.3	2
N7	1628	29.748	29.848	14.6	4
N7	1628	29.848	31.84	7.3	2
N7	1628	31.84	35.81	7.4	2
N7	1628	35.81	36.42	7.3	2
N7	1628	36.42	37.557	7.3	2
N7	1628	37.557	37.82	7.3	2
N7	1628	37.82	38.67	7.3	2
N7	1628	38.67	42.48	7.4	2
N7	1628	42.48	51.83	7.3	2
N7	1628	51.83	52.825	7.3	2
N7	1628	52.825	56.904	7.3	2
N7	1628	56.904	57.18	7.3	2
N7	1628	57.18	61.873	7.3	2
N7	1628	61.873	62.928	7.3	2
N7	1628	62.928	63.076	8	3
N7	1628	63.076	66.014	9.3	3
N7	1628	66.014	66.428	9.7	3
N7	1628	66.428	72.72	7.3	2
N7	1628	72.72	74.15	8.9	2
N7	1628	74.15	74.432	7.3	2
N7	1628	74.432	76.912	9.6	3
N7	1628	76.912	82.582	9.5	3
N7	1628	82.582	85.28	7.3	2
N7	1628	85.28	87.6	7.3	2
N7	1628	87.6	88.83	7.3	2
N7	1628	88.83	89.74	7.3	2
N7	1628	89.74	91.13	7.3	2
N7	1628	91.13	91.83	7.3	2
N7	1628	91.83	101.72	7.5	2
N7	1628	101.72	103.7	7.3	2
N7	1628	103.7	103.755	14.6	4
N7	1628	103.755	103.908	10	3
N7	1628	103.908	105.522	7.3	2
N7	1628	105.522	105.692	10	3
N7	1628	105.692	107.268	7.3	2
N7	1628	107.268	112.628	5.8	2
N7	1628	112.628	113.12	10.2	3
N7	1628	113.12	113.4	5.6	2
N7	1628	113.4	115.139	5.6	2
N7	1628	115.139	115.65	7.9	2
N7	1628	115.65	116.08	5.5	2
N7	1628	116.08	116.73	6.5	2
N7	1628	116.73	118.77	6.5	2
N7	1628	118.77	119.78	7.3	2
N7	1628	119.78	121.494	10.2	3
N7	1628	121.494	131.348	7.3	2
N7	1628	131.348	132.01	5.7	2
N7	1628	132.01	132.64	7.3	2
N7	1628	132.64	134.497	5.8	2
N7	1628	134.497	136.85	5.8	2
N7	1628	136.85	138.123	6.7	2
N7	1628	138.123	138.793	10.2	3
N7	1628	138.793	139.224	5.8	2
N7	1628	139.224	141.7	5.7	2
N7	1628	141.7	142.83	5.7	2
N7	1628	142.83	144.14	6.5	2
N7	1628	144.14	144.317	6.5	2
N7	1628	144.317	145.58	6.5	2
N7	1628	145.58	146.206	7.5	2
N7	1628	146.206	147.333	9.3	3
N7	1628	147.333	151.194	7.3	2
N7	1628	151.194	151.278	11.4	4
N7	1628	151.278	154.14	8.1	2
N7	1628	154.14	155.817	7.5	2
N7	1628	155.817	157.304	7.5	2
N7	1628	157.304	160.92	6.8	2
N7	1628	160.92	161.4	6.8	2
N7	1628	161.4	161.93	6.8	2
N7	1628	161.93	162.73	7.3	2
N7	1628	162.73	168.82	7.3	2
N7	1628	168.82	168.93	7.3	2
N7	1628	168.93	169.92	7.3	2
N7	1628	169.92	170.999	9.3	3
N7	1628	170.999	172.961	7.3	2
N7	1628	172.961	175.062	9.9	3
N7	1628	175.062	177.42	6.8	2
N7	1628	177.42	182.752	6.8	2
N7	1628	182.752	183.72	7.3	2
N7	1628	183.72	185.035	8.6	2
N7	1628	185.035	186.49	8.6	2
N7	1628	186.49	188.06	9.4	3
N7	1628	188.06	190.17	8.8	2
N7	1628	190.17	190.59	7.3	2
N7	1628	190.59	195.37	9.4	3
N7	1628	195.37	195.87	11.3	3
N7	1628	195.87	198.89	9.3	3
N7	1628	198.89	199.035	12.3	4
N7	1628	199.035	199.079	14.6	4
N7	1628	199.079	199.27	12.5	4
N7	1628	199.27	200.847	9.3	3
N7	1628	200.847	204.72	13	4
N7	1628	204.72	206.1	10.2	3
N7	1628	206.1	207.02	12.4	4
N7	1628	207.02	207.9	12.4	4
N7	1628	207.9	208.81	7.3	2
N7	1628	208.81	209.585	14.6	4
N7	1628	209.585	210.46	14.6	4
N7	1628	210.46	211.45	8.7	2
N7	1628	211.45	213.11	10	3
N7	1628	213.11	213.5	10.2	3
N7	1628	213.5	213.7	7.3	2
N7	1628	214.1	215.93	7.3	2
N7	1628	215.93	216.92	7.3	2
N7	1628	216.92	219.69	7.3	2
N7	1628	219.69	219.974	14.1	4
N7	1628	219.974	224.065	7.3	2
N7	1628	224.065	224.689	7.3	2
N7	1628	224.689	225.049	9.3	3
N7	1628	225.049	229.856	7.3	2
N7	1628	229.856	231.732	6.7	2
N7	1628	231.732	231.967	7.3	2
N7	1628	231.967	235.601	6.7	2
N7	1628	235.601	249.665	6.7	2
