road	N709
name	Khulna City By-Pass Road
length	27
from	Khulna City By-Pass
to	Khulna City By-Pass
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1619
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1619&RoadNo=N709
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1619&RoadNo=N709
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1619&RoadNo=N709
