roadNo	roadId	startChainage	endChainage	width	nrLanes
N806	1778	0	0.05	10.4	3
N806	1778	0.05	2.925	5.5	2
N806	1778	2.925	2.99	7	2
N806	1778	3.427	3.64	7	2
N806	1778	3.64	8.269	5.5	2
N806	1778	8.269	8.419	12.2	4
N806	1778	8.419	16.605	5.5	2
N806	1778	16.605	22.509	5.5	2
N806	1778	22.509	22.579	16.5	4
N806	1778	22.704	23.012	6.5	2
N806	1778	23.012	23.302	6.2	2
N806	1778	23.302	24.278	6.2	2
N806	1778	24.278	24.362	5.5	2
N806	1778	24.362	32.827	5.5	2
N806	1778	32.827	41.626	5.5	2
N806	1778	41.626	48.829	5.5	2
N806	1778	48.829	50.77	5.5	2
N806	1778	50.77	54.294	5.5	2
N806	1778	54.294	54.444	8	2
N806	1778	54.444	54.719	6.5	2
N806	1778	54.719	54.969	8	2
N806	1778	54.969	55.169	11.5	3
