road	N708
name	Jessore Town Old Section alternate Road (Palbari-Board office-Monihar)
length	5
from	Palbari
to	Monihar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1152
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1152&RoadNo=N708
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1152&RoadNo=N708
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1152&RoadNo=N708
