road	N3
name	Dhaka (Banani)-Joydebpur-Mymensingh Road
length	112
from	Dhaka (Banani)
to	Mymensingh DC office
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1525
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1525&RoadNo=N3
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1525&RoadNo=N3
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1525&RoadNo=N3
