road	N803
name	Faridpur Town Old Section (Alipur-Faridpur-SS Ghat) Road
length	6
from	Alipur
to	SS Ghat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1617
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1617&RoadNo=N803
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1617&RoadNo=N803
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1617&RoadNo=N803
