road	N706
name	Jessore (Daratana More)-Benapole Road
length	38
from	Jessore (Daratana More)
to	Benapole
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1562
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1562&RoadNo=N706
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1562&RoadNo=N706
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1562&RoadNo=N706
