road	N508
name	Beldanga-Dinajpur Road
length	16
from	Beldanga (10 mile)
to	Dinajpur DC office
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1267
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1267&RoadNo=N508
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1267&RoadNo=N508
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1267&RoadNo=N508
