roadNo	roadId	startChainage	endChainage	width	nrLanes
N704	1510	0	0.01	2	1
N704	1510	0.01	0.233	5	1.5
N704	1510	0.233	0.9	5	1.5
N704	1510	0.9	0.944	11	3
N704	1510	0.944	3.77	10.8	3
N704	1510	3.77	7.79	7.3	2
N704	1510	7.79	8.2	9.3	3
N704	1510	8.2	14.4	7.3	2
N704	1510	14.4	17.44	7.9	2
N704	1510	17.44	20.895	7.3	2
N704	1510	20.895	30.131	7.3	2
N704	1510	30.131	43.15	7.3	2
N704	1510	43.15	45.759	9.9	3
N704	1510	45.759	45.778	10.5	3.5
N704	1510	45.778	52.278	7.8	2
N704	1510	52.278	62.563	7.3	2
N704	1510	62.563	69.063	7.8	2
N704	1510	69.063	69.168	10	3
N704	1510	69.168	70.753	11.2	4
N704	1510	70.753	70.798	10	3
N704	1510	70.798	71.478	7.7	2
N704	1510	71.478	71.528	10.7	3
N704	1510	71.528	74.715	7.7	2
N704	1510	74.715	74.765	9.5	3
N704	1510	74.765	76.488	7.7	2
N704	1510	76.488	76.538	10.7	3
N704	1510	76.538	78.408	7.7	2
N704	1510	78.408	78.458	10.7	3
N704	1510	78.458	79.648	7.7	2
N704	1510	79.648	79.698	10.7	3
N704	1510	79.698	80.846	7.7	2
N704	1510	80.846	80.896	10.7	3
N704	1510	80.896	81.195	7.7	2
N704	1510	81.195	81.265	10	3
N704	1510	81.265	81.438	8	2
N704	1510	81.438	81.538	12.9	3.5
