roadNo	roadId	startChainage	endChainage	width	nrLanes
N506	1266	0	0.038	10	3
N506	1266	0.038	0.193	7.4	2
N506	1266	0.193	0.728	7.3	2
N506	1266	0.728	1.57	5.4	1.5
N506	1266	1.57	2.353	7.4	2
N506	1266	2.353	3.025	5.5	2
N506	1266	3.025	3.462	7.4	2
N506	1266	3.462	6.01	5.5	2
N506	1266	6.01	6.463	7.2	2
N506	1266	6.463	11.04	5.5	2
N506	1266	11.04	11.232	7.2	2
N506	1266	11.232	13.645	5.5	2
N506	1266	13.645	13.955	7.2	2
N506	1266	13.955	18.282	5.5	2
N506	1266	18.282	18.624	7.4	2
N506	1266	18.624	19.436	5.5	2
N506	1266	19.436	19.75	7.7	2
N506	1266	19.75	19.84	7.7	2
N506	1266	19.84	22.494	7.7	2
N506	1266	22.494	22.87	5.5	2
N506	1266	22.87	23.087	7.2	2
N506	1266	23.087	25.291	5.5	2
N506	1266	25.291	25.735	7.2	2
N506	1266	25.735	29.066	5.5	2
N506	1266	29.066	29.293	7.3	2
N506	1266	29.293	31.167	5.5	2
N506	1266	31.167	31.283	7.3	2
N506	1266	31.283	32.267	5.5	2
N506	1266	32.267	33.809	7.4	2
N506	1266	33.809	34.399	5.5	2
N506	1266	34.399	34.548	7.3	2
N506	1266	34.548	36.043	5.5	2
N506	1266	36.043	36.295	7.3	2
N506	1266	36.295	37.467	5.5	2
N506	1266	37.467	37.677	5.5	2
N506	1266	37.677	37.787	7.3	2
N506	1266	37.787	39.121	5.5	2
N506	1266	39.121	39.259	7.2	2
N506	1266	39.259	39.381	5.5	2
N506	1266	39.381	41.117	5.5	2
N506	1266	41.117	46.924	7.3	2
N506	1266	46.924	47.007	15	4
N506	1266	47.007	49.139	7.3	2
N506	1266	49.139	49.357	10.3	3
N506	1266	49.357	49.457	8.6	2
N506	1266	49.457	50.017	8.6	2
