road	N711
name	Benapole Town Old Section
length	4
from	Benapole East
to	Benapole West
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1561
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1561&RoadNo=N711
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1561&RoadNo=N711
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1561&RoadNo=N711
