road	N513
name	Baderhat-Khayerchar Road
length	12
from	Baderhat
to	Khayerchar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1688
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1688&RoadNo=N513
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1688&RoadNo=N513
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1688&RoadNo=N513
