road	N511
name	Mirpur (Birulia)-Ashulia (Yearpur) Road
length	9
from	Mirpur (Birulia)
to	Ashulia (Yearpur)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1621
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1621&RoadNo=N511
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1621&RoadNo=N511
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1621&RoadNo=N511
