road	N408
name	Korotia Bazar Portion Road
length	4
from	Korotia
to	Korotia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1763
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1763&RoadNo=N408
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1763&RoadNo=N408
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1763&RoadNo=N408
