road	N501
name	Mirpur Bridge-Dhour Road
length	12
from	Mirpur Bridge
to	Dhour
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1607
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1607&RoadNo=N501
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1607&RoadNo=N501
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1607&RoadNo=N501
