road	N309
name	Mymensingh Town By-Pass Road
length	13
from	Digarkandi Bus Stand
to	Mymensingh engineering College
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1577
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1577&RoadNo=N309
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1577&RoadNo=N309
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1577&RoadNo=N309
