road	N514
name	Bogra (Banani)-Matidali Road
length	9
from	Banani
to	Matidali
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1341
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1341&RoadNo=N514
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1341&RoadNo=N514
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1341&RoadNo=N514
