road	N407
name	Korotia-Bangra Road
length	2
from	Korotia
to	Bangra
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1762
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1762&RoadNo=N407
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1762&RoadNo=N407
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1762&RoadNo=N407
