road	N503
name	Utholi-Aricha Road
length	3
from	Utholi
to	Aricha
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1540
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1540&RoadNo=N503
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1540&RoadNo=N503
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1540&RoadNo=N503
