roadNo	roadId	startChainage	endChainage	width	nrLanes
N804	1430	0	0.005	18.84	4
N804	1430	0.005	0.05	13.44	3.5
N804	1430	0.05	5	7.3	2
N804	1430	5	5.675	7.3	2
N804	1430	5.675	6.092	7.5	2
N804	1430	6.092	9.96	7.3	2
N804	1430	9.96	10.053	7.3	2
N804	1430	10.053	12.97	7.3	2
N804	1430	12.97	19.01	7.3	2
N804	1430	19.01	25.278	7.3	2
N804	1430	25.278	27.078	7.3	2
N804	1430	27.078	27.13	7.3	2
N804	1430	27.13	27.38	7.3	2
N804	1430	27.38	28.763	14.2	4
N804	1430	28.763	29.76	14.2	4
N804	1430	29.76	30.358	15.6	4
N804	1430	30.358	30.492	14	4
N804	1430	30.492	32.063	15.6	4
