road	N6
name	Kashinathpur-Dasuria-Natore-Rajshahi-Nawabganj-Kansat-Sona Masjid-Baliadighi Border Road
length	232
from	Kashinathpur
to	Baliadighi Border
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1490
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1490&RoadNo=N6
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1490&RoadNo=N6
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1490&RoadNo=N6
