road	N705
name	Paksey (Ruppur)-Iswardi-Dasuria Old Section
length	9
from	Ruppur
to	Dasuria
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1551
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1551&RoadNo=N705
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1551&RoadNo=N705
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1551&RoadNo=N705
