road	N703
name	Jhenaidah Town Old Section
length	3
from	Bus Terminal
to	Hamdah
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1563
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1563&RoadNo=N703
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1563&RoadNo=N703
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1563&RoadNo=N703
